,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5
0,0.0,0.16726820170879364,0.004272262565791607,4.999999873689376e-05,0.0,60,0.0,0.17717894911766052,0.0055362749844789505,4.999999873689376e-05,0.0,60,0.0,0.16577115654945374,0.006296264007687569,4.999999873689376e-05,0.0,60,0.0,0.20672038197517395,0.005113962572067976,4.999999873689376e-05,0.0,60,0.0,0.18226012587547302,0.005038148257881403,4.999999873689376e-05,0.0,60,0.0,0.21091818809509277,0.007162866648286581,4.999999873689376e-05,0.0,60,0.0
1,50.0,0.0006727381842210889,0.0006690495065413415,4.1729246731847525e-05,0.0,60,0.0,0.0009673198219388723,0.0008872426697053015,4.576311766868457e-05,0.0,60,0.0,0.0012005808530375361,0.0009686602279543877,4.728285057353787e-05,0.0,60,0.0,0.0015944467158988118,0.0014311543200165033,4.272888327250257e-05,0.0,60,0.0,0.0006761081167496741,0.0006730079185217619,4.1908388084266335e-05,0.0,60,0.0,0.001534082693979144,0.001971382647752762,4.34924331784714e-05,0.0,60,0.0
2,100.0,0.00025763834128156304,0.00031340785790234804,4.8833877372089773e-05,0.0,50,0.0,0.0003545170766301453,0.00042412657057866454,5.441176472231746e-05,0.0,57,0.0,0.0004242856230121106,0.00041867676191031933,5.776240141130984e-05,0.0,56,0.0,0.00042259457404725254,0.000739788287319243,5.2744453569175676e-05,0.0,57,0.0,0.0002838526852428913,0.00029837246984243393,5.1944301958428696e-05,0.0,54,0.0,0.0005924359429627657,0.0007009176770225167,5.572513327933848e-05,0.0,54,0.0
3,150.0,0.00010934948659269139,0.0001710996584733948,5.653986590914428e-05,0.0,50,0.0,0.00015501667803619057,0.00022087572142481804,5.969423000351526e-05,0.0,56,0.0,0.0001614423526916653,0.0002215683925896883,6.354145443765447e-05,0.0,56,0.0,0.00022749227355234325,0.0004744889447465539,5.830133886775002e-05,0.0,57,0.0,0.00011705569340847433,0.00014100788393989205,5.644668999593705e-05,0.0,53,0.0,0.00023215170949697495,0.0002994849637616426,6.09930393693503e-05,0.0,54,0.0
4,200.0,6.440954166464508e-05,0.00011364515376044437,6.240631046239287e-05,0.0,46,0.0,9.888046770356596e-05,0.0001278962881769985,6.331686745397747e-05,0.0,50,0.0,8.461324614472687e-05,0.00012475902622099966,6.786163430660963e-05,0.0,53,0.0,0.0001460323401261121,0.0003477467689663172,5.951052298769355e-05,0.0,53,0.0,7.215417281258851e-05,9.622344805393368e-05,6.021243825671263e-05,0.0,50,0.0,0.00010717941768234596,0.00016875096480362117,6.45431355223991e-05,0.0,49,0.0
5,250.0,4.971832822775468e-05,7.540296064689755e-05,6.55215626466088e-05,0.0,46,0.0,6.770955951651558e-05,8.062611595960334e-05,6.508232036139816e-05,0.0,50,0.0,5.016687646275386e-05,7.115053449524567e-05,7.024960359558463e-05,0.0,53,1.0,0.00012242163938935846,0.000244110357016325,5.9773105022031814e-05,0.0,53,0.0,4.5769316784571856e-05,6.663725798716769e-05,6.220042268978432e-05,0.0,50,0.0,6.313782796496525e-05,0.0001136545542976819,6.614076846744865e-05,0.0,49,0.0
6,300.0,3.423036469030194e-05,5.773382508778013e-05,6.76181516610086e-05,0.0,45,0.0,6.899397703818977e-05,6.364086584653705e-05,6.600025517400354e-05,0.0,44,1.0,3.724167981999926e-05,4.982611790183e-05,7.157048094086349e-05,0.0,52,1.0,8.651068492326885e-05,0.00018717216153163463,5.9321202570572495e-05,0.0,51,0.0,3.601579737733118e-05,5.313892324920744e-05,6.328384188236669e-05,0.0,47,0.0,6.021833905833773e-05,9.324227721663192e-05,6.730541645083576e-05,0.0,44,0.0
7,350.0,3.074197593377903e-05,4.6894518163753673e-05,6.84128754073754e-05,0.0,45,0.0,3.9783393731340766e-05,4.623383574653417e-05,6.624095840379596e-05,0.0,44,1.0,3.0279183192760684e-05,3.77560245397035e-05,7.160831592045724e-05,0.0,52,1.0,7.490904681617394e-05,0.00015249475836753845,5.8445799368200824e-05,0.0,51,0.0,2.6433321181684732e-05,3.861967707052827e-05,6.360059342114255e-05,0.0,47,0.0,4.493098094826564e-05,7.283007289515808e-05,6.786286394344643e-05,0.0,44,0.0
8,400.0,3.1477262382395566e-05,4.00729950342793e-05,6.841049616923556e-05,0.0,41,0.0,3.278910298831761e-05,3.798642865149304e-05,6.639446655754e-05,0.0,41,1.0,2.7591131583903916e-05,3.1609670259058475e-05,7.122498209355399e-05,0.0,48,1.0,4.934116805088706e-05,0.00012761827383656055,5.782193329650909e-05,0.0,48,0.0,2.018704435613472e-05,3.202792868250981e-05,6.358129030559212e-05,0.0,41,0.0,3.112145350314677e-05,6.075842247810215e-05,6.795938679715618e-05,0.0,42,0.0
9,450.0,2.4304150429088622e-05,2.9800543416058645e-05,6.813542859163135e-05,0.0,41,0.0,2.7726960979634896e-05,3.0638759199064225e-05,6.619346822844818e-05,0.0,41,1.0,5.253949711914174e-05,3.095408828812651e-05,7.065622048685327e-05,0.0,48,1.0,4.44839897681959e-05,0.00011366214312147349,5.714180224458687e-05,0.0,48,0.0,1.8079948858940043e-05,2.6534298740443774e-05,6.324036075966433e-05,0.0,41,0.0,3.1559535273117945e-05,5.352777225198224e-05,6.789602048229426e-05,0.0,42,0.0
10,500.0,2.321236206626054e-05,2.573335041233804e-05,6.760980613762513e-05,0.0,41,0.0,3.686180571094155e-05,7.862165512051433e-05,6.579497130587697e-05,0.0,39,1.0,2.4405817384831607e-05,5.1834613259416074e-05,6.999605830060318e-05,0.0,42,1.0,4.151592293055728e-05,0.00016145365952979773,5.639573646476492e-05,0.0,43,0.0,1.5586141671519727e-05,2.2511352653964423e-05,6.269241566769779e-05,0.0,41,0.0,2.8453294362407178e-05,4.7739624278619885e-05,6.773944187443703e-05,0.0,41,0.0
11,550.0,2.7782385586760938e-05,2.3603870431543328e-05,6.682839011773467e-05,0.0,41,0.0,2.2136595362098888e-05,2.4821591068757698e-05,6.494545959867537e-05,0.0,39,1.0,2.364388456044253e-05,2.2310301574179903e-05,6.938284786883742e-05,0.0,42,1.0,4.260112837073393e-05,9.3348920927383e-05,5.559543933486566e-05,0.0,42,0.0,1.6744643289712258e-05,2.08119581657229e-05,6.173017754917964e-05,0.0,41,0.0,2.9664579415111803e-05,4.444992373464629e-05,6.739606760675088e-05,0.0,41,0.0
