,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
22,1100,1.4839784853393212e-05,3.6103062939218944e-06,4.178290510026272e-06,7.051188276818721e-06,0.0,21,0.42857142857142855,2.0012210370623507e-05,2.835230361597496e-06,6.629282779613277e-06,1.0547697456786409e-05,0.0,26,0.14285714285714285
23,1150,1.559260272188112e-05,4.218064532324206e-06,4.270772478776053e-06,7.103766165528214e-06,0.0,20,0.42857142857142855,1.893592343549244e-05,2.1616638150590006e-06,6.2609074120700825e-06,1.0513352208363358e-05,0.0,26,0.14285714285714285
24,1200,1.4339527297124732e-05,3.47872196471144e-06,3.7872059692745097e-06,7.073599590512458e-06,0.0,20,0.42857142857142855,1.8292083041160367e-05,1.8825854795068153e-06,5.9438702919578645e-06,1.0465627383382525e-05,0.0,26,0.14285714285714285
25,1250,1.4308488971437328e-05,3.7083202641952084e-06,3.566749228411936e-06,7.033419024082832e-06,0.0,20,0.42857142857142855,1.8005637684836984e-05,1.9118349428026704e-06,5.686347321898211e-06,1.0407456102257129e-05,0.0,26,0.14285714285714285
26,1300,1.5274128600140102e-05,4.669952886615647e-06,3.615281684687943e-06,6.9888942562101875e-06,0.0,20,0.42857142857142855,1.8151382391806692e-05,1.8572644648884307e-06,5.828966550325276e-06,1.0465150808158796e-05,0.0,25,0.14285714285714285
27,1350,1.3303597370395437e-05,3.2056705094873905e-06,3.150866405121633e-06,6.94706113790744e-06,0.0,20,0.42857142857142855,1.7345757441944443e-05,1.5772438928252086e-06,5.3232542995829135e-06,1.044525924953632e-05,0.0,24,0.14285714285714285
28,1400,1.3601556929643266e-05,3.5479843063512817e-06,3.1507076982961735e-06,6.902865152369486e-06,0.0,20,0.42857142857142855,1.6807247448014095e-05,1.443326482331031e-06,4.96993561682757e-06,1.039398557622917e-05,0.0,24,0.14285714285714285
29,1450,1.3886895430914592e-05,4.0794107007968705e-06,2.95068070954585e-06,6.856804247945547e-06,0.0,20,0.42857142857142855,2.1675441530533135e-05,6.052511253074044e-06,5.29826456840965e-06,1.0324664799554739e-05,0.0,24,0.14285714285714285
30,1500,1.2392850294418167e-05,2.7848343506775564e-06,2.798752120725112e-06,6.809264050389174e-06,0.0,20,0.42857142857142855,1.6044588846853003e-05,1.3098026556690456e-06,4.4966850509808864e-06,1.0238100003334694e-05,0.0,24,0.14285714285714285
31,1550,1.2340953617240302e-05,2.8587116958078695e-06,2.721923692661221e-06,6.7603186835185625e-06,0.0,20,0.42857142857142855,1.5773757695569657e-05,1.3441210739983944e-06,4.338553935667733e-06,1.0091082913277205e-05,0.0,23,0.14285714285714285
32,1600,1.2127879926993046e-05,2.7564424271986354e-06,2.6612069632392377e-06,6.710230536555173e-06,0.0,19,0.42857142857142855,1.571478060213849e-05,1.4696001926495228e-06,4.217244622850558e-06,1.0027934877143707e-05,0.0,23,0.14285714285714285
33,1650,1.207459263241617e-05,2.824159992087516e-06,2.582004071882693e-06,6.6684287958196364e-06,0.0,19,0.42857142857142855,1.5268215065589175e-05,1.2401782214510604e-06,4.068340786034241e-06,9.959696399164386e-06,0.0,23,0.14285714285714285
34,1700,1.1934971553273499e-05,2.786179720715154e-06,2.5233778160327347e-06,6.625413789151935e-06,0.0,19,0.42857142857142855,1.5100359632924665e-05,1.2182532600490958e-06,4.002554760518251e-06,9.879551726044156e-06,0.0,22,0.14285714285714285
35,1750,1.1960422853007913e-05,2.8477932119130855e-06,2.531045538489707e-06,6.581583875231445e-06,0.0,19,0.42857142857142855,1.4952220226405188e-05,1.2655367527258932e-06,3.874753474519821e-06,9.811929885472637e-06,0.0,22,0.14285714285714285
36,1800,1.1936437658732757e-05,2.9638817977684084e-06,2.4353787466679933e-06,6.537177341670031e-06,0.0,19,0.42857142857142855,1.5153342246776447e-05,1.6375203131246963e-06,3.7858860650885617e-06,9.729936209623702e-06,0.0,22,0.14285714285714285
37,1850,1.2509217413025908e-05,3.6008416373078944e-06,2.4161734017980052e-06,6.4922028286673594e-06,0.0,19,0.42857142857142855,1.4565437595592812e-05,1.207968125527259e-06,3.7072441045893356e-06,9.650225365476217e-06,0.0,22,0.14285714285714285
38,1900,1.1464184353826568e-05,2.6580134999676375e-06,2.3593850073666545e-06,6.4467863012396265e-06,0.0,19,0.42857142857142855,1.8759365048026666e-05,5.174908437766135e-06,4.017988885607338e-06,9.566468179400545e-06,0.0,22,0.14285714285714285
39,1950,1.1727453056664672e-05,2.978288421218167e-06,2.3479726678488078e-06,6.401191967597697e-06,0.0,19,0.42857142857142855,1.4256690519687254e-05,1.226694053002575e-06,3.5510124689608347e-06,9.478983884037007e-06,0.0,22,0.14285714285714285
40,2000,1.145960959547665e-05,2.823335080393008e-06,2.291796818099101e-06,6.34447724223719e-06,0.0,18,0.42857142857142855,1.4068438758840784e-05,1.1785414244513959e-06,3.499199692669208e-06,9.390697414346505e-06,0.0,21,0.14285714285714285
