,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
0,0.0,0.0340072326362133,0.0013245242880657315,9.999999747378752e-06,0.0,60,0.0,0.03637941554188728,0.0013655268121510744,9.999999747378752e-06,0.0,60,0.0
1,50.0,0.0017482572002336383,0.0010232389904558659,8.52618813951267e-06,0.0,60,0.0,0.0038475634064525366,0.0010989396832883358,8.350702955794986e-06,0.0,60,0.0
2,100.0,0.0008190371445380151,0.0004678186378441751,8.187405910575762e-06,0.0,56,0.14285714285714285,0.0009923832258209586,0.0007340857991948724,7.761272172501776e-06,0.0,57,0.0
3,150.0,0.0003749861498363316,0.0002455153735354543,7.398839898087317e-06,0.0,52,0.14285714285714285,0.0003873851674143225,0.0003011726657859981,7.460463621100644e-06,0.0,50,0.14285714285714285
4,200.0,0.0002576201513875276,0.00017212909006047994,6.9747870838909876e-06,0.0,45,0.14285714285714285,0.00025678580277599394,0.0002092275972245261,7.400778940791497e-06,0.0,47,0.14285714285714285
5,250.0,0.0001949639990925789,0.00013480102643370628,7.13449753675377e-06,0.0,41,0.14285714285714285,0.0002032877382589504,0.0001719268038868904,7.497516889998224e-06,0.0,44,0.14285714285714285
6,300.0,0.00015070165682118386,0.00010981813102262095,7.414828360197134e-06,0.0,36,0.14285714285714285,0.00017064281564671546,0.0001497635676059872,7.735695362498518e-06,0.0,40,0.14285714285714285
7,350.0,0.00011740286572603509,9.157072781817988e-05,7.829544301785063e-06,0.0,34,0.14285714285714285,0.000146811522427015,0.00013172213220968843,8.022016118047759e-06,0.0,39,0.14285714285714285
8,400.0,9.24678606679663e-05,7.797972648404539e-05,8.196583621611353e-06,0.0,34,0.14285714285714285,0.00012361403787508607,0.00011354057642165571,8.255949978774879e-06,0.0,38,0.14285714285714285
9,450.0,7.368294609477744e-05,6.831533391959965e-05,8.517161404597573e-06,0.0,33,0.14285714285714285,0.00010243734868708998,9.868595952866599e-05,8.438922122877557e-06,0.0,37,0.14285714285714285
10,500.0,5.87371141591575e-05,5.8338344388175756e-05,8.805055585980881e-06,0.0,33,0.14285714285714285,8.559790876461193e-05,8.867360884323716e-05,8.566302312829066e-06,0.0,37,0.14285714285714285
11,550.0,4.736537084681913e-05,5.12486367370002e-05,9.047315870702732e-06,0.0,32,0.2857142857142857,6.92573594278656e-05,8.110229100566357e-05,8.662588697916362e-06,0.0,37,0.14285714285714285
12,600.0,3.8999882235657424e-05,4.4859989429824054e-05,9.298400073021185e-06,0.0,32,0.2857142857142857,5.952397623332217e-05,7.621298573212698e-05,8.728346983843949e-06,0.0,36,0.14285714285714285
13,650.0,3.2350166293326765e-05,4.0339622501051053e-05,9.51776746660471e-06,0.0,31,0.2857142857142857,4.8806392442202196e-05,7.197109516710043e-05,8.799839633866213e-06,0.0,35,0.14285714285714285
14,700.0,2.729327025008388e-05,3.505977656459436e-05,9.704189324111212e-06,0.0,31,0.2857142857142857,4.178049130132422e-05,7.3660456109792e-05,8.876053470885381e-06,0.0,33,0.14285714285714285
15,750.0,2.3622818844160065e-05,3.119182656519115e-05,9.870466783468146e-06,0.0,31,0.2857142857142857,3.811345231952146e-05,6.641614891123027e-05,8.924600479076616e-06,0.0,32,0.14285714285714285
16,800.0,2.113413211191073e-05,2.7975707780569792e-05,1.0017092790803872e-05,0.0,31,0.2857142857142857,3.1549188861390576e-05,6.256522465264425e-05,8.972747309599072e-06,0.0,32,0.14285714285714285
17,850.0,1.8362519767833874e-05,2.6992707716999575e-05,1.0141663551621605e-05,0.0,30,0.2857142857142857,2.7883919756277464e-05,6.0086404118919745e-05,9.01068688108353e-06,0.0,31,0.14285714285714285
18,900.0,2.2326688849716447e-05,2.4150373064912856e-05,1.0258308066113386e-05,0.0,30,0.2857142857142857,2.451553700666409e-05,5.759412670158781e-05,9.050365406437777e-06,0.0,31,0.14285714285714285
19,950.0,1.5057885320857167e-05,2.1731766537413932e-05,1.0357161045249086e-05,0.0,30,0.2857142857142857,2.1478415874298662e-05,5.5381755373673514e-05,9.084838893613778e-06,0.0,31,0.14285714285714285
20,1000.0,1.3520247193810064e-05,2.0245051928213798e-05,1.0446306987432763e-05,0.0,30,0.2857142857142857,1.9155429981765337e-05,5.328530096448958e-05,9.10966900846688e-06,0.0,31,0.14285714285714285
21,1050.0,1.3279069207783323e-05,1.9109322238364257e-05,1.0523701348574832e-05,0.0,30,0.2857142857142857,1.7832628145697527e-05,5.169999349163845e-05,9.124103598878719e-06,0.0,31,0.14285714285714285
22,1100.0,1.1676546819217037e-05,1.7820342691265978e-05,1.0591485079203267e-05,0.0,30,0.2857142857142857,1.7394015230820514e-05,4.984367114957422e-05,9.130507351073902e-06,0.0,31,0.14285714285714285
23,1150.0,1.1272618394286837e-05,1.6805979612399824e-05,1.0649735486367717e-05,0.0,30,0.2857142857142857,1.3526353541237768e-05,4.793339394382201e-05,9.13078292796854e-06,0.0,31,0.14285714285714285
24,1200.0,1.0762602869363036e-05,1.887914550025016e-05,1.0699648555601016e-05,0.0,29,0.2857142857142857,2.089101508317981e-05,4.6884208131814376e-05,9.127860721491743e-06,0.0,31,0.14285714285714285
25,1250.0,1.1250054740230553e-05,1.5177273780864198e-05,1.0732850569183938e-05,0.0,29,0.2857142857142857,1.2471342415665276e-05,4.4455184252001345e-05,9.121382390731014e-06,0.0,30,0.14285714285714285
