,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
0,0.0,33.307090759277344,0.8555300235748291,0.0099999997764825,0.0,60,0.0,36.72898864746094,1.0792607069015503,0.009999999776482582,0.0,60,0.0
1,50.0,6.093820095062256,0.8736509680747986,0.0091774193570017,0.0,60,0.0,8.204568862915039,1.166405439376831,0.009312471374869347,0.0,60,0.0
2,100.0,3.0990352630615234,0.8414387702941895,0.0089238658547401,0.0,60,0.0,3.7982168197631836,1.1185463666915894,0.008585444651544094,0.0,60,0.0
3,150.0,2.622464656829834,0.7604243755340576,0.0087934508919715,0.0,60,0.0,3.0972445011138916,0.9081332683563232,0.008630347438156605,0.0,60,0.0
4,200.0,1.300561785697937,0.6933185458183289,0.0080145131796598,0.0,60,0.0,2.172394275665283,0.8166959285736084,0.008609561249613762,0.0,60,0.0
5,250.0,0.9424540996551514,0.5688972473144531,0.0076678600162267,0.0,60,0.0,1.274613618850708,0.7638319730758667,0.00848573911935091,0.0,60,0.0
6,300.0,0.8121800422668457,0.5016322135925293,0.0075457612983882,0.0,59,0.0,0.907661497592926,0.6807013750076294,0.008354711346328259,0.0,60,0.0
7,350.0,0.7327191233634949,0.4135589003562927,0.0075761913321912,0.0,58,0.0,0.6807998418807983,0.5604105591773987,0.00814067479223013,0.0,58,0.0
8,400.0,0.6270555257797241,0.3372882604598999,0.0076242038048803,0.0,55,0.1428571428571428,0.5255956649780273,0.47839033603668213,0.007845387794077396,0.0,57,0.0
9,450.0,0.4865313470363617,0.3020195960998535,0.0075163068249821,0.0,53,0.1428571428571428,0.42240795493125916,0.38986286520957947,0.007606424391269684,0.0,53,0.14285714285714285
10,500.0,0.3668592572212219,0.2818374037742615,0.007441459223628,0.0,51,0.1428571428571428,0.3536302149295807,0.3012843728065491,0.007495229132473469,0.0,52,0.14285714285714285
11,550.0,0.2957399487495422,0.2532199025154114,0.0073943804018199,0.0,48,0.1428571428571428,0.3088069558143616,0.22891008853912354,0.0074486201629042625,0.0,50,0.14285714285714285
12,600.0,0.251238465309143,0.2277016043663025,0.0073320302180945,0.0,47,0.1428571428571428,0.27519360184669495,0.19284862279891968,0.0074208807200193405,0.0,47,0.14285714285714285
13,650.0,0.2198935151100158,0.201053112745285,0.0072591518983244,0.0,45,0.2857142857142857,0.2501432001590729,0.17260724306106567,0.007401538081467152,0.0,45,0.14285714285714285
14,700.0,0.1945372223854065,0.1779350638389587,0.0071837743744254,0.0,44,0.2857142857142857,0.230702742934227,0.1611170470714569,0.007392553146928549,0.0,45,0.14285714285714285
15,750.0,0.1736292243003845,0.1658833920955658,0.0070942537859082,0.0,43,0.2857142857142857,0.2154611051082611,0.1524234414100647,0.007377731613814831,0.0,45,0.14285714285714285
16,800.0,0.1566554456949234,0.1552553921937942,0.0069769392721354,0.0,43,0.2857142857142857,0.20252716541290283,0.14427191019058228,0.007356149610131979,0.0,44,0.14285714285714285
17,850.0,0.1434141844511032,0.1450726091861724,0.006862245965749,0.0,43,0.2857142857142857,0.19182178378105164,0.14087644219398499,0.007342166267335415,0.0,43,0.14285714285714285
18,900.0,0.1323680579662323,0.1351736634969711,0.0067459060810506,0.0,40,0.2857142857142857,0.1815442442893982,0.13662900030612946,0.007324753794819117,0.0,43,0.14285714285714285
19,950.0,0.123129017651081,0.1259863227605819,0.0066561321727931,0.0,38,0.2857142857142857,0.1731412559747696,0.1329025775194168,0.007302823942154646,0.0,42,0.14285714285714285
20,1000.0,0.1144539639353752,0.1196802258491516,0.0066012474708259,0.0,38,0.2857142857142857,0.16528433561325073,0.127965047955513,0.007278600707650185,0.0,40,0.2857142857142857
21,1050.0,0.1065547987818718,0.113448217511177,0.0065461886115372,0.0,38,0.2857142857142857,0.15986236929893494,0.12581230700016022,0.007283107843250036,0.0,40,0.2857142857142857
22,1100.0,0.0996092483401298,0.1069198697805404,0.0064920568838715,0.0,36,0.2857142857142857,0.15297839045524597,0.12279702723026276,0.007294756360352039,0.0,40,0.2857142857142857
23,1150.0,0.0929747819900512,0.0998551249504089,0.0064567783847451,0.0,33,0.2857142857142857,0.14802107214927673,0.11985983699560165,0.007306776009500027,0.0,40,0.2857142857142857
24,1200.0,0.0868761390447616,0.0935603082180023,0.0064464746974408,0.0,31,0.2857142857142857,0.14295858144760132,0.11658614873886108,0.007318592630326748,0.0,40,0.2857142857142857
25,1250.0,0.0818745270371437,0.0874353349208831,0.0064519364386796,0.0,31,0.2857142857142857,0.1382526159286499,0.11301155388355255,0.00733024999499321,0.0,39,0.2857142857142857
26,1300.0,0.0771500244736671,0.0886662751436233,0.006460718344897,0.0,29,0.2857142857142857,0.13396942615509033,0.10971131920814514,0.0073579223826527596,0.0,38,0.2857142857142857
27,1350.0,0.0732636526226997,0.0790131464600563,0.0064860479906201,0.0,29,0.2857142857142857,0.12967322766780853,0.10607597231864929,0.007388496305793524,0.0,37,0.2857142857142857
28,1400.0,0.0694731548428535,0.075510486960411,0.006513119675219,0.0,29,0.2857142857142857,0.12587085366249084,0.10119961202144623,0.007420101668685675,0.0,37,0.2857142857142857
29,1450.0,0.0659708008170127,0.0723557248711586,0.0065345033071935,0.0,29,0.2857142857142857,0.1217021569609642,0.09740555286407471,0.007455187849700451,0.0,37,0.2857142857142857
30,1500.0,0.0628923773765564,0.0694591253995895,0.006553438026458,0.0,29,0.2857142857142857,0.11777712404727936,0.09374503791332245,0.0074930074624717236,0.0,37,0.2857142857142857
