,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,latent_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
0,0,0.0375317111611366,36.68085861206055,0.849604606628418,0.0004168582963757,0.0008277856977656,0.0,60,0.0,0.03867478668689728,37.596134185791016,1.077277421951294,0.0005987775512039661,0.0007740648579783738,0.0,60,0.0
1,50,0.0004383301420602,0.2445869743824005,0.1901566982269287,2.0996329112676904e-05,0.0035654620733112,0.0,60,0.0,0.0009348791791126132,0.6270260214805603,0.30421319603919983,0.0008652500109747052,0.0027746986597776413,0.0,60,0.0
2,100,0.0001890169951366,0.0973038300871849,0.086097128689289,1.7963229765882716e-06,0.0056142564862966,0.0,60,0.0,0.0004701926081907004,0.320214182138443,0.14610068500041962,0.00021386398293543607,0.003663892624899745,0.0,60,0.0
3,150,0.0001107914431486,0.0522839277982711,0.0515231192111969,6.676220891677076e-07,0.0069837300106883,0.0,60,0.0,0.0003169971168972552,0.21420429646968842,0.09812737256288528,0.00012345242430455983,0.004541989415884018,0.0,59,0.0
4,200,6.983026105444878e-05,0.0283534359186887,0.0339010320603847,4.2259253518750484e-07,0.0075753708370029,0.0,56,0.0,0.0002154682733817026,0.13830575346946716,0.07166501134634018,7.045795791782439e-05,0.005427050869911909,0.0,58,0.0
5,250,4.91001337650232e-05,0.0174761768430471,0.0236707851290702,3.262833558892453e-07,0.0079528456553816,0.0,55,0.0,0.00015818493557162583,0.09981043636798859,0.05230358988046646,4.6955159632489085e-05,0.00602395785972476,0.0,56,0.0
6,300,3.727085641003214e-05,0.0123062720522284,0.0167657025158405,2.915868435593439e-07,0.0081985909491777,0.0,52,0.0,0.00012026005424559116,0.07259200513362885,0.04121001064777374,3.37662422680296e-05,0.006424267310649157,0.0,54,0.0
7,350,3.0224056899896823e-05,0.0092824138700962,0.0125665897503495,2.612527794099151e-07,0.0083747915923595,0.0,51,0.0,0.00010166662832489237,0.059288389980793,0.035666704177856445,2.7742498787119985e-05,0.006683789659291506,0.0,53,0.0
8,400,2.6493777113500983e-05,0.0076918634586036,0.0102905500680208,2.946100323697465e-07,0.0085110701620578,0.0,49,0.0,9.037948620971292e-05,0.05009328946471214,0.03336832672357559,2.416924326098524e-05,0.006893690675497055,0.0,53,0.0
9,450,2.370576657995116e-05,0.0064945518970489,0.008643583394587,3.07969600044089e-07,0.0085673239082098,0.0,48,0.0,8.215777779696509e-05,0.04336242750287056,0.03175070136785507,2.2393756808014587e-05,0.007022249512374401,0.0,50,0.0
10,500,2.298027357028332e-05,0.0068115419708192,0.0075946492142975,3.592526240936422e-07,0.0085737239569425,0.0,48,0.0,7.485387322958559e-05,0.03773118555545807,0.03002340905368328,2.0476240024436265e-05,0.007078798487782478,0.0,45,0.14285714285714285
11,550,2.0434068574104455e-05,0.0052287834696471,0.0066425940021872,4.162893958437053e-07,0.0085622752085328,0.0,47,0.0,6.858563574496657e-05,0.032577984035015106,0.028841659426689148,1.9240897017880343e-05,0.007146749179810286,0.0,44,0.14285714285714285
12,600,1.976594649022445e-05,0.0050411443226039,0.0061597414314746,4.287796571134095e-07,0.008564630523324,0.0,45,0.0,6.311206379905343e-05,0.028111591935157776,0.027786768972873688,1.808795605029445e-05,0.007195609156042337,0.0,42,0.14285714285714285
13,650,1.8602557247504592e-05,0.0045137708075344,0.0055805426090955,4.472431101021357e-07,0.0085077974945306,0.0,45,0.0,5.8838242694037035e-05,0.025074990466237068,0.026422865688800812,1.704701026028488e-05,0.007323337718844414,0.0,41,0.14285714285714285
14,700,1.7959038814296946e-05,0.0042810779996216,0.0052188169211149,4.311113457333704e-07,0.0084587130695581,0.0,44,0.0,5.3294425015337765e-05,0.021373439580202103,0.02436305209994316,1.572496876178775e-05,0.0075422110967338085,0.0,41,0.14285714285714285
15,750,1.7220123481820337e-05,0.0038983891718089,0.0049585117958486,4.1164901176671275e-07,0.0083628110587596,0.0,44,0.0,4.941289444104768e-05,0.018650203943252563,0.023001283407211304,1.433148281648755e-05,0.007747080642729998,0.0,40,0.14285714285714285
16,800,1.680835703155026e-05,0.0038315050769597,0.0047153555788099,4.329748719555937e-07,0.0082610631361603,0.0,44,0.0,4.697720942203887e-05,0.015919148921966553,0.023101944476366043,1.3389977539191023e-05,0.007942726835608482,0.0,39,0.14285714285714285
17,850,1.6872003470780328e-05,0.0041814190335571,0.0045264502987265,4.2940405364788603e-07,0.0081637045368552,0.0,43,0.0,4.40764197264798e-05,0.014633365906774998,0.021361153572797775,1.257286476175068e-05,0.008069326169788837,0.0,38,0.14285714285714285
18,900,1.603346572665032e-05,0.0035467720590531,0.0044157919473946,4.306552057187219e-07,0.0080704716965556,0.0,43,0.0,4.209252801956609e-05,0.01347346045076847,0.020400594919919968,1.1424061085563153e-05,0.008207050152122974,0.0,38,0.14285714285714285
19,950,1.6359001165255904e-05,0.004016641061753,0.0043611242435872,4.271313969184121e-07,0.0079808076843619,0.0,42,0.0,3.8874426536494866e-05,0.011776559986174107,0.01883343607187271,1.0981368177453987e-05,0.008253446780145168,0.0,38,0.14285714285714285
20,1000,1.551304194435943e-05,0.0034228938166052,0.0041947001591324,4.358215335287241e-07,0.0078950123861432,0.0,42,0.0,3.704202390508726e-05,0.011246223002672195,0.01742030307650566,1.1238151273573749e-05,0.00836426205933094,0.0,36,0.14285714285714285
