,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0
0,0,0.040771447122097015,0.03958659991621971,0.0011841143714264035,7.338263117162569e-07,0.0,60
1,50,0.002706054598093033,0.001599208335392177,0.001106379320845008,4.670107216497854e-07,0.0,60
2,100,0.001248042332008481,0.000716836133506149,0.0005298412870615721,1.3648456160808564e-06,0.0,60
3,150,0.0008042191620916128,0.00032233656384050846,0.0004803843330591917,1.4982567790866597e-06,0.0,32
4,200,0.0005955923115834594,0.00017134913650806993,0.0004227293829899281,1.5138276694415254e-06,0.0,25
5,250,0.000495977234095335,0.00014746529632247984,0.0003471153322607279,1.3966414371680003e-06,0.0,22
6,300,0.0004145381972193718,0.00014374023885466158,0.00026956325746141374,1.2347073834462208e-06,0.0,18
7,350,0.00036617537261918187,0.00013633823255077004,0.00022873170382808894,1.1054127071474795e-06,0.0,15
8,400,0.00032673979876562953,0.00012478831922635436,0.00020091485930606723,1.0366115930082742e-06,0.0,15
9,450,0.00029662559973075986,0.00011416791676310822,0.00018145242938771844,1.0052345942312968e-06,0.0,14
10,500,0.0002735511225182563,0.00010262519208481535,0.00016994995530694723,9.759716022017528e-07,0.0,12
11,550,0.0002528361219447106,9.099805902224034e-05,0.00016087893163785338,9.591032039679703e-07,0.0,12
12,600,0.00023411322035826743,8.037480438360944e-05,0.0001527847780380398,9.536404945720278e-07,0.0,12
13,650,0.00021582507179118693,7.024074875516817e-05,0.00014463542902376503,9.489074273005826e-07,0.0,12
14,700,0.0002012609620578587,6.459692667704076e-05,0.00013571986346505582,9.4416475349135e-07,0.0,12
15,750,0.0003927966463379562,9.861512808129191e-05,0.000293274933937937,9.065735184776713e-07,0.0,10
16,800,0.000290816678898409,9.647808474255726e-05,0.00019340541621204466,9.331747605756391e-07,0.0,10
17,850,0.00023993069771677256,8.345182141056284e-05,0.00015554878336843103,9.301039085585217e-07,0.0,10
18,900,0.00022973644081503153,8.659115701448172e-05,0.00014223341713659465,9.118617185777111e-07,0.0,10
19,950,0.00018810857727658004,6.899314030306414e-05,0.00011822010128526017,8.953357450991462e-07,0.0,10
20,1000,0.00017284657224081457,6.42236482235603e-05,0.00010775293048936874,8.699958016222809e-07,0.0,10
21,1050,0.00016469511319883168,6.181847129482776e-05,0.0001020328636514023,8.437814926764986e-07,0.0,10
22,1100,0.0001731415104586631,6.379570550052449e-05,0.00010852904233615845,8.167745590981212e-07,0.0,10
23,1150,0.00016689235053490847,6.225180550245568e-05,0.00010384366032667458,7.968812383296608e-07,0.0,10
24,1200,0.00017180632858071476,6.216951442183927e-05,0.00010886671225307509,7.700968467361236e-07,0.0,9
25,1250,0.00017249076336156577,6.225734978215769e-05,0.00010948511044261977,7.483043873435236e-07,0.0,9
26,1300,0.00017291387484874576,6.070749441278167e-05,0.00011147499753860757,7.31376815110707e-07,0.0,9
27,1350,0.00017344583466183394,5.95669262111187e-05,0.00011316390009596944,7.150018745960551e-07,0.0,9
28,1400,0.0001732958189677447,5.781093568657525e-05,0.00011478568194434047,6.992079875089985e-07,0.0,9
29,1450,0.0001702184381429106,5.6318702263524756e-05,0.00011321601778035983,6.83724408645503e-07,0.0,9
30,1500,0.00016926131502259523,5.45230541320052e-05,0.00011406914563849568,6.691093403787818e-07,0.0,9
31,1550,0.0001687513431534171,4.8015037464210764e-05,0.00012008164776489139,6.546687814079633e-07,0.0,9
32,1600,0.00017730347462929785,4.976644049747847e-05,0.0001268980122404173,6.390252451637934e-07,0.0,9
33,1650,0.00017893950280267745,4.931478906655684e-05,0.00012899974535685033,6.249629791454936e-07,0.0,9
34,1700,0.00017861319065559655,4.830108809983358e-05,0.00012970063835382462,6.114603934292973e-07,0.0,9
35,1750,0.0001749655930325389,4.737671042676084e-05,0.00012699079525191337,5.980896276014391e-07,0.0,9
36,1800,0.00017878069775179029,4.6635253966087475e-05,0.00013155979104340076,5.856612688148743e-07,0.0,9
37,1850,0.00017680623568594456,4.558630826068111e-05,0.00013064633822068572,5.735947183893586e-07,0.0,9
38,1900,0.0001691873330855742,4.3487998482305557e-05,0.00012513685214798898,5.624709160656494e-07,0.0,9
39,1950,0.00016956974286586046,4.235525193507783e-05,0.00012666292604990304,5.515642556019884e-07,0.0,9
40,2000,0.0001722949673421681,4.174801506451331e-05,0.0001300061703659594,5.407797516454593e-07,0.0,9
41,2050,0.0001770181697793305,3.928713340428658e-05,0.0001371979305986315,5.331059469426691e-07,0.0,8
42,2100,0.00017295074940193444,3.843976810458116e-05,0.00013399079034570605,5.201820272304758e-07,0.0,8
43,2150,0.00017248924996238202,3.858373747789301e-05,0.00013340063742361963,5.048809725849424e-07,0.0,8
44,2200,0.0001729159994283691,3.7904555938439444e-05,0.00013451618724502623,4.952582344230905e-07,0.0,8
45,2250,0.00016944324306678027,3.6770601582247764e-05,0.0001321857125731185,4.869177701039007e-07,0.0,8
46,2300,0.0001647417520871386,3.612975342548452e-05,0.00012813285866286606,4.791319838659547e-07,0.0,8
47,2350,0.00016151269664987922,3.523230770952068e-05,0.00012581874034367502,4.616454987171892e-07,0.0,7
48,2400,0.00015984178753569722,3.490691597107798e-05,0.0001244852173840627,4.496480130455893e-07,0.0,7
49,2450,0.00016053016588557512,3.544078572303988e-05,0.00012464607425499707,4.433100571077375e-07,0.0,7
