,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0.0,0.22084525227546692,0.005825025960803032,1.3030950867687352e-05,0.0,60,53.0
1,50.0,0.0034571471624076366,0.0020695419516414404,1.9508941477397457e-05,0.0,40,37.0
2,100.0,0.0018283623503521085,0.0010682952124625444,1.9036291632801294e-05,0.0,35,32.0
3,150.0,0.0010252144420519471,0.0007650490733794868,2.1662643121089786e-05,0.0,32,29.0
4,200.0,0.0007213714998215437,0.0005483076092787087,2.382654020038899e-05,0.0,29,28.0
5,250.0,0.0005006862338632345,0.0004306925111450255,2.5458995878580026e-05,0.0,29,28.0
6,300.0,0.0003801646817009896,0.00034350453643128276,2.6392170184408315e-05,0.0,29,28.0
7,350.0,0.0003156688471790403,0.00028593919705599546,2.6960495233652182e-05,0.0,29,28.0
8,400.0,0.0002723034704104066,0.0002424545818939805,2.7324602342559956e-05,0.0,29,28.0
9,450.0,0.00021747613209299743,0.00020497222431004047,2.7581902031670325e-05,0.0,28,27.0
10,500.0,0.00019783477182500064,0.0001807801891118288,2.776821747829672e-05,0.0,27,26.0
11,550.0,0.00018363470735494047,0.008486399427056313,2.7910225981031545e-05,0.0,25,24.0
12,600.0,0.00014750940317753702,0.00014418232603929937,2.830151788657531e-05,0.0,25,24.0
13,650.0,0.00013344937178771943,0.00012780055112671107,2.8560662030940875e-05,0.0,25,24.0
14,700.0,0.00012041883019264787,0.00011152801016578451,2.8714486688841134e-05,0.0,25,24.0
15,750.0,0.00010093916353071108,0.0012449888745322824,2.887023401854094e-05,0.0,24,23.0
16,800.0,9.172731370199472e-05,9.457347186980769e-05,2.909664181061089e-05,0.0,24,23.0
17,850.0,8.154926763381809e-05,8.825054828776047e-05,2.9157054086681455e-05,0.0,24,23.0
18,900.0,7.368665683316067e-05,8.502258424414322e-05,2.9265160264912993e-05,0.0,24,23.0
19,950.0,6.559048051713035e-05,8.615491242380813e-05,2.9361224733293056e-05,0.0,24,23.0
20,1000.0,6.296669744187966e-05,7.734184328000993e-05,2.949197732959874e-05,0.0,24,23.0
21,1050.0,5.596675691776909e-05,6.998699973337352e-05,2.9629318305524066e-05,0.0,24,23.0
22,1100.0,5.535037780646235e-05,6.905759073561057e-05,2.9757693482679315e-05,0.0,24,23.0
23,1150.0,4.85281998408027e-05,6.524890341097489e-05,2.9978391467011534e-05,0.0,23,22.0
24,1200.0,4.6998164179967716e-05,6.644880340900272e-05,3.006143742823042e-05,0.0,23,22.0
25,1250.0,3.820742495008744e-05,6.284325354499742e-05,3.0209996111807413e-05,0.0,20,19.0
26,1300.0,3.735185964615084e-05,6.215344183146954e-05,3.0161543691065162e-05,0.0,20,19.0
27,1350.0,3.6131903470959514e-05,5.9927802794845775e-05,3.011086846527178e-05,0.0,20,19.0
28,1400.0,3.2433315936941653e-05,5.825555126648396e-05,3.0099286959739402e-05,0.0,20,19.0
29,1450.0,3.420256689423695e-05,5.797004996566102e-05,3.006832230312284e-05,0.0,20,19.0
30,1500.0,3.204426684533246e-05,5.473398414324038e-05,3.0027787943254225e-05,0.0,20,19.0
31,1550.0,2.8270638722460717e-05,5.332636283128522e-05,2.9975293728057295e-05,0.0,20,19.0
32,1600.0,3.17130507028196e-05,5.177579078008421e-05,2.9914601327618584e-05,0.0,20,19.0
33,1650.0,3.3987547794822603e-05,5.196139318286441e-05,2.9849812563043088e-05,0.0,20,19.0
34,1700.0,3.237093551433645e-05,5.1590424845926464e-05,2.9796656235703267e-05,0.0,19,20.0
35,1750.0,3.650501821539365e-05,5.071191117167473e-05,2.972551556013059e-05,0.0,19,20.0
36,1800.0,4.7715133405290544e-05,4.982251994078979e-05,2.963900988106616e-05,0.0,19,20.0
37,1850.0,2.380642035859637e-05,4.9436970584793016e-05,2.957822107418906e-05,0.0,19,20.0
38,1900.0,3.0045608582440764e-05,4.74921653221827e-05,2.9509776140912436e-05,0.0,19,20.0
39,1950.0,2.539597153372597e-05,4.686672400566749e-05,2.9441682272590697e-05,0.0,19,20.0
40,2000.0,4.651354538509622e-05,0.0005027597071602941,2.936636701633688e-05,0.0,18,19.0
41,2050.0,2.1032428776379675e-05,4.6901419409550726e-05,2.922878775279969e-05,0.0,17,18.0
42,2100.0,2.3374270313070156e-05,4.741522570839152e-05,2.9095008358126506e-05,0.0,17,18.0
43,2150.0,2.133275120286271e-05,4.5790147851221263e-05,2.892964221246075e-05,0.0,17,18.0
44,2200.0,2.068980575131718e-05,4.546535274130292e-05,2.8805961846956052e-05,0.0,17,18.0
45,2250.0,2.285061236761976e-05,4.5821732783224434e-05,2.8718575777020305e-05,0.0,17,18.0
46,2300.0,3.390456913621165e-05,4.5180346205597743e-05,2.863296504074242e-05,0.0,17,18.0
47,2350.0,2.292710996698588e-05,4.351067036623135e-05,2.854131525964476e-05,0.0,17,18.0
48,2400.0,2.8344569727778435e-05,4.372172770672478e-05,2.8457872758735903e-05,0.0,17,18.0
49,2450.0,2.8543927328428254e-05,4.403405182529241e-05,2.837136162270326e-05,0.0,17,18.0
50,2500.0,2.046149893430993e-05,4.299519787309691e-05,2.8281676350161433e-05,0.0,17,18.0
51,2550.0,2.4813734853523783e-05,4.3586132960626855e-05,2.8187861971673556e-05,0.0,17,18.0
52,2600.0,1.7544773072586395e-05,4.231795537634753e-05,2.8097976610297337e-05,0.0,17,18.0
53,2650.0,2.9137432647985406e-05,4.0574464946985245e-05,2.8003712941426784e-05,0.0,17,18.0
54,2700.0,1.8847194951376878e-05,4.1727271309355274e-05,2.7912226869375445e-05,0.0,17,18.0
55,2750.0,1.7285334251937456e-05,4.109853398404084e-05,2.7817057343781926e-05,0.0,17,18.0
56,2800.0,1.7899674276122823e-05,4.1075836634263396e-05,2.7718408091459423e-05,0.0,17,18.0
57,2850.0,1.922069350257516e-05,4.3805892346426845e-05,2.7619653337751515e-05,0.0,17,18.0
58,2900.0,2.3910828531370498e-05,4.1175986552843824e-05,2.7523565222509205e-05,0.0,17,18.0
59,2950.0,1.940675610967446e-05,3.943569026887417e-05,2.7424557629274204e-05,0.0,17,18.0
60,3000.0,1.7453148757340387e-05,3.908445796696469e-05,2.732125540205743e-05,0.0,17,18.0
61,3050.0,1.662523573031649e-05,3.794214717345312e-05,2.7219481125939637e-05,0.0,17,18.0
62,3100.0,1.668552795308642e-05,3.8219455746002495e-05,2.7112258976558223e-05,0.0,17,18.0
63,3150.0,1.5801977497176267e-05,3.739604653674178e-05,2.7009133191313595e-05,0.0,17,18.0
64,3200.0,1.614225038792938e-05,3.7666159187210724e-05,2.690342444111593e-05,0.0,17,18.0
65,3250.0,1.614103894098662e-05,3.74951669073198e-05,2.6794681616593152e-05,0.0,17,18.0
66,3300.0,2.1877776816836558e-05,3.997164094471373e-05,2.6684456315706484e-05,0.0,17,18.0
67,3350.0,1.9860683096339926e-05,3.982277121394873e-05,2.6578765755402856e-05,0.0,17,18.0
68,3400.0,1.6457637684652582e-05,3.715686034411192e-05,2.646813118190039e-05,0.0,17,18.0
69,3450.0,1.679801061982289e-05,3.675965854199603e-05,2.635535565786995e-05,0.0,17,18.0
70,3500.0,1.7319625840173103e-05,3.940575334127061e-05,2.6245090339216404e-05,0.0,17,18.0
71,3550.0,2.0242337996023707e-05,3.900802039424889e-05,2.6132842322112992e-05,0.0,17,18.0
72,3600.0,1.8286813428858295e-05,0.000855972059071064,2.601687447167933e-05,0.0,16,17.0
73,3650.0,1.7112759451265447e-05,3.984232898801565e-05,2.607302667456679e-05,0.0,16,17.0
74,3700.0,1.5501995221711695e-05,3.7688463635277e-05,2.6023515601991676e-05,0.0,16,17.0
75,3750.0,1.7399192074663006e-05,3.677435597637668e-05,2.5916331651387736e-05,0.0,16,17.0
76,3800.0,2.2353671738528647e-05,3.9400456444127485e-05,2.5780958821997046e-05,0.0,16,17.0
77,3850.0,2.39537148445379e-05,3.7576781323878095e-05,2.567179581092205e-05,0.0,16,17.0
78,3900.0,1.5223476111714263e-05,3.6634526622947305e-05,2.5559484129189514e-05,0.0,16,17.0
79,3950.0,2.053493335552048e-05,4.0483275370206684e-05,2.5442497644689865e-05,0.0,16,17.0
80,4000.0,1.6657206288073212e-05,3.6957597330911085e-05,2.532132202759385e-05,0.0,16,17.0
81,4050.0,1.847065141191706e-05,3.8578687963308766e-05,2.5199698939104564e-05,0.0,16,17.0
82,4100.0,1.8464241293258965e-05,3.616264075390063e-05,2.5076325982809067e-05,0.0,16,17.0
83,4150.0,2.2049744075047784e-05,3.491879760986194e-05,2.4950262741185725e-05,0.0,16,17.0
84,4200.0,1.796943979570642e-05,3.631361687439494e-05,2.482404852344189e-05,0.0,16,17.0
85,4250.0,1.8748894945019856e-05,3.5387092793826014e-05,2.469388346071355e-05,0.0,16,17.0
86,4300.0,2.540002969908528e-05,3.7629695725627244e-05,2.4562785256421193e-05,0.0,16,17.0
87,4350.0,1.6795767805888318e-05,3.5057568311458454e-05,2.443061202939134e-05,0.0,16,17.0
88,4400.0,1.741457344905939e-05,3.510122041916475e-05,2.430096901662182e-05,0.0,16,17.0
89,4450.0,2.0496107026701793e-05,3.884782927343622e-05,2.416867391730193e-05,0.0,16,17.0
90,4500.0,1.5600875485688448e-05,3.4970380511367694e-05,2.404054976068437e-05,0.0,16,17.0
91,4550.0,2.011214201047551e-05,3.6633162380894646e-05,2.39066230278695e-05,0.0,16,17.0
92,4600.0,1.8550794266047888e-05,3.563667632988654e-05,2.3779393814038485e-05,0.0,16,17.0
93,4650.0,3.096266300417483e-05,3.65193591278512e-05,2.364682950428687e-05,0.0,16,17.0
94,4700.0,2.03269264602568e-05,3.593446672311984e-05,2.3510616301791742e-05,0.0,16,17.0
95,4750.0,2.2727117539034225e-05,3.77250398742035e-05,2.3375763703370467e-05,0.0,16,17.0
96,4800.0,2.0423398382263258e-05,3.572715286281891e-05,2.3243010218720883e-05,0.0,16,17.0
97,4850.0,1.8404738511890173e-05,3.464870678726584e-05,2.3108546884031966e-05,0.0,16,17.0
98,4900.0,1.7224239854840562e-05,3.672628736239858e-05,2.297406354045961e-05,0.0,16,17.0
99,4950.0,1.5383529898826964e-05,3.5559754905989394e-05,2.283809590153396e-05,0.0,16,17.0
