,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,latent_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1
0,0,0.1052198857069015,0.1052198857069015,0.0032980884425342,0.0,2.999999924213625e-05,0.0,60,0.0,0.10571761429309845,0.10571761429309845,0.004430069588124752,0.0,2.9999999242136255e-05,0.0,60,0.0
1,10,0.0505348443984985,0.0505348443984985,0.0033014514483511,0.0,2.999999924213625e-05,0.0,60,0.0,0.05018632486462593,0.05018632486462593,0.004443510435521603,0.0,2.9999999242136255e-05,0.0,60,0.0
2,20,0.0335636623203754,0.0335636623203754,0.0033139020670205,0.0,2.999999924213625e-05,0.0,60,0.0,0.03446204960346222,0.03446204960346222,0.004476523958146572,0.0,2.9999999242136255e-05,0.0,60,0.0
3,30,0.0292319785803556,0.0292319785803556,0.0033405208960175,0.0,2.999999924213625e-05,0.0,60,0.0,0.03072696179151535,0.03072696179151535,0.0045144930481910706,0.0,2.9999999242136255e-05,0.0,60,0.0
4,40,0.0281329043209552,0.0281329043209552,0.0033742859959602,0.0,2.999999924213625e-05,0.0,60,0.0,0.029956765472888947,0.029956765472888947,0.004533057566732168,0.0,2.9999999242136255e-05,0.0,60,0.0
5,50,0.0277233682572841,0.0277233682572841,0.0034004747867584,0.0,2.999999924213625e-05,0.0,60,0.0,0.029643412679433823,0.029643412679433823,0.004530429840087891,0.0,2.9999999242136255e-05,0.0,60,0.0
6,60,0.0273865833878517,0.0273865833878517,0.0034310868941247,0.0,2.999999924213625e-05,0.0,60,0.0,0.029391862452030182,0.029391862452030182,0.004512130282819271,0.0,2.9999999242136255e-05,0.0,60,0.0
7,70,0.0268393643200397,0.0268393643200397,0.0035118870437145,0.0,2.999999924213625e-05,0.0,60,0.0,0.028906099498271942,0.028906099498271942,0.004490910097956657,0.0,2.9999999242136255e-05,0.0,60,0.0
8,80,0.0258719846606254,0.0258719846606254,0.0037733130156993,0.0,2.999999924213625e-05,0.0,60,0.0,0.028019394725561142,0.028019394725561142,0.0044801924377679825,0.0,2.9999999242136255e-05,0.0,60,0.0
9,90,0.024268303066492,0.024268303066492,0.004600912798196,0.0,2.999999924213625e-05,0.0,60,0.0,0.026417067274451256,0.026417067274451256,0.004492240026593208,0.0,2.9999999242136255e-05,0.0,60,0.0
10,100,0.022111065685749,0.022111065685749,0.0068842079490423,0.0,2.999999924213625e-05,0.0,60,0.0,0.02403191104531288,0.02403191104531288,0.004545108415186405,0.0,2.9999999242136255e-05,0.0,60,0.0
11,110,0.0199841558933258,0.0199841558933258,0.0111903678625822,0.0,2.999999924213625e-05,0.0,60,0.0,0.021471451967954636,0.021471451967954636,0.004648401401937008,0.0,2.9999999242136255e-05,0.0,60,0.0
12,120,0.0182325113564729,0.0182325113564729,0.015160952694714,0.0,2.999999924213625e-05,0.0,60,0.0,0.019410450011491776,0.019410450011491776,0.0047477176412940025,0.0,2.9999999242136255e-05,0.0,60,0.0
13,130,0.0166779365390539,0.0166779365390539,0.0163032542914152,0.0,2.999999924213625e-05,0.0,60,0.0,0.017740890383720398,0.017740890383720398,0.004773799329996109,0.0,2.9999999242136255e-05,0.0,60,0.0
14,140,0.0153738986700773,0.0153738986700773,0.0161224175244569,0.0,2.999999924213625e-05,0.0,60,0.0,0.016365129500627518,0.016365129500627518,0.004740668460726738,0.0,2.9999999242136255e-05,0.0,60,0.0
15,150,0.0142907388508319,0.0142907388508319,0.0159478783607482,0.0,2.999999924213625e-05,0.0,60,0.0,0.015239182859659195,0.015239182859659195,0.004685821011662483,0.0,2.9999999242136255e-05,0.0,60,0.0
16,160,0.0133806774392724,0.0133806774392724,0.0152833610773086,0.0,2.999999924213625e-05,0.0,60,0.0,0.014308298006653786,0.014308298006653786,0.004628204740583897,0.0,2.9999999242136255e-05,0.0,60,0.0
