,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4
0,0.0,0.03492484614253044,0.0014494287315756083,9.999999747378752e-06,0.0,60,0.0,0.03844122961163521,0.0013135502813383937,9.999999747378752e-06,0.0,60,0.0,0.03187095746397972,0.0010745078325271606,9.999999747378752e-06,0.0,60,0.0,0.03880907595157623,0.001262891455553472,9.999999747378752e-06,0.0,60,0.0,0.030598049983382225,0.0010136693017557263,9.999999747378752e-06,0.0,60,0.0
1,50.0,0.007793873082846403,0.0014760283520445228,9.047089406521991e-06,0.0,60,0.0,0.008858355693519115,0.0013135974295437336,9.058706382347737e-06,0.0,60,0.0,0.008030752651393414,0.0010743660386651754,9.07865342014702e-06,0.0,60,0.0,0.007782371249049902,0.0012668927665799856,9.10484686755808e-06,0.0,60,0.0,0.0063397581689059734,0.0013161845272406936,9.014538591145538e-06,0.0,60,0.0
2,100.0,0.003962500486522913,0.0014443041291087866,8.684478416398633e-06,0.0,60,0.0,0.003800234291702509,0.001310827094130218,8.43415273266146e-06,0.0,60,0.0,0.003125191433355212,0.0010718967532739043,8.550247002858669e-06,0.0,60,0.0,0.003950109239667654,0.0012615751475095749,8.529939805157483e-06,0.0,60,0.0,0.0029879703652113676,0.0010590479942038655,8.684050044394098e-06,0.0,60,0.0
3,150.0,0.0035213083028793335,0.0014279652386903763,8.608355528849643e-06,0.0,60,0.0,0.0030594829004257917,0.001257094438187778,8.121073733491357e-06,0.0,60,0.0,0.0026694913394749165,0.0010111222509294748,8.461306606477592e-06,0.0,60,0.0,0.003320536343380809,0.0012484586331993341,8.151502697728574e-06,0.0,60,0.0,0.002613483229652047,0.0008251150138676167,8.71417341841152e-06,0.0,60,0.0
4,200.0,0.002737076487392187,0.0013826936483383179,8.37381503515644e-06,0.0,60,0.0,0.0020052283070981503,0.0011803071247413754,7.894467671576422e-06,0.0,60,0.0,0.0014139367267489433,0.0008971770876087248,8.415939191763755e-06,0.0,60,0.0,0.0022937876638025045,0.0010980446822941303,7.964080396050122e-06,0.0,60,0.0,0.0021908616181463003,0.0008045299327932298,8.656768841319717e-06,0.0,60,0.0
5,250.0,0.0015692170709371567,0.0012005779426544905,7.602474397572223e-06,0.0,60,0.0,0.001356102409772575,0.0009838835103437304,7.5537800512393005e-06,0.0,60,0.0,0.0009737683576531708,0.0007581186946481466,8.403136234846897e-06,0.0,60,0.0,0.00130368210375309,0.0007844170904718339,7.912582077551633e-06,0.0,60,0.0,0.0015622026985511184,0.0007665963494218886,8.393022653763182e-06,0.0,60,0.0
6,300.0,0.0011326676467433572,0.000981671386398375,7.255941000039456e-06,0.0,53,1.0,0.0010981771629303694,0.0008406566339544952,7.4984427556046285e-06,0.0,55,0.0,0.0007965110125951469,0.0006280193920247257,8.40157281345455e-06,0.0,57,0.0,0.0010290436912328005,0.0005248429370112717,7.801480023772456e-06,0.0,60,0.0,0.0010134855983778834,0.0006796183297410607,8.085126864898484e-06,0.0,59,0.0
7,350.0,0.0008772028959356248,0.0007951623410917819,7.0071541813376825e-06,0.0,53,1.0,0.0009557473822496831,0.0007423938368447125,7.59428530727746e-06,0.0,55,1.0,0.0006557168671861291,0.0005223448388278484,8.440202691417653e-06,0.0,57,1.0,0.0008940343977883458,0.00041770958341658115,7.743752576061524e-06,0.0,60,0.0,0.0007192850462161005,0.0005802972009405494,7.882819772930816e-06,0.0,59,0.0
8,400.0,0.0006791932391934097,0.0006295639323070645,6.782739092159318e-06,0.0,50,1.0,0.0008617034181952477,0.0006294994964264333,7.787833055772353e-06,0.0,50,0.0,0.0005290557164698839,0.0004230179183650762,8.494717803841922e-06,0.0,53,1.0,0.0008020782843232155,0.0003722996625583619,7.680758244532626e-06,0.0,60,0.0,0.0005556530086323619,0.0005062638665549457,7.721912879787851e-06,0.0,56,0.0
9,450.0,0.000527509837411344,0.0004896975005976856,6.590325483557535e-06,0.0,50,2.0,0.0007996681961230934,0.0004692121292464435,7.894027476140764e-06,0.0,50,0.0,0.00042465204023756087,0.0003441066073719412,8.422438440902624e-06,0.0,53,1.0,0.0007334667025133967,0.0003421457076910883,7.608298346895026e-06,0.0,60,0.0,0.0004596317303366959,0.0004387094813864678,7.587902473460417e-06,0.0,56,0.0
10,500.0,0.0004231877683196217,0.0003363173163961619,6.5435588112450205e-06,0.0,44,2.0,0.000717265298590064,0.0004242844588588923,7.908367479103617e-06,0.0,46,0.0,0.000356021715560928,0.0002798642381094396,8.237307156377938e-06,0.0,52,1.0,0.000678876182064414,0.000320699269650504,7.51955303712748e-06,0.0,58,0.0,0.0003976232837885618,0.00036254158476367593,7.50930848880671e-06,0.0,54,0.0
11,550.0,0.00035289040533825755,0.00027067502378486097,6.591106284759007e-06,0.0,44,2.0,0.000610030023381114,0.0004123397229705006,7.845420441299211e-06,0.0,46,0.0,0.00030979784787632525,0.0002511162601877004,8.08711502031656e-06,0.0,52,1.0,0.00063316710293293,0.0003036729176528752,7.418703262374038e-06,0.0,58,0.0,0.00035308938822709024,0.0002954854571726173,7.448145424859831e-06,0.0,54,1.0
