,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4
10,500,0.0001669434132054448,3.556823867256753e-05,0.00012821350537706167,3.161668018947239e-06,0.0,23,0.00012249380233697593,2.7928528652410023e-05,9.1323941887822e-05,3.2413233839179156e-06,0.0,26,0.00010307109914720058,2.8464030037866905e-05,7.230033224914223e-05,2.306738679180853e-06,0.0,20,8.361058280570433e-05,1.7346234017168172e-05,6.345746078295633e-05,2.8068864139640937e-06,0.0,28,0.00010869267862290144,2.978183692903258e-05,7.620578981004655e-05,2.7050532480643597e-06,0.0,28
11,550,0.0001497148332418874,2.9832852305844426e-05,0.00011668569641187787,3.1962781577021815e-06,0.0,23,0.00010870095138670877,2.3868524294812232e-05,8.15626117400825e-05,3.2698146696930053e-06,0.0,26,9.286303975386545e-05,2.434450652799569e-05,6.615062739001587e-05,2.3679067453485914e-06,0.0,20,7.552334136562422e-05,1.594939749338664e-05,5.6751541706034914e-05,2.8224028483236907e-06,0.0,27,0.00011055226786993444,2.812592538248282e-05,7.976991037139669e-05,2.6564289328234736e-06,0.0,28
12,600,0.00013438641326501966,2.7383905035094358e-05,0.00010377262515248731,3.2298871701641474e-06,0.0,23,9.617873001843691e-05,2.147634768334683e-05,7.140180241549388e-05,3.3005817385856062e-06,0.0,25,8.024906856007874e-05,2.0120214685448445e-05,5.7720899349078536e-05,2.407956117167487e-06,0.0,20,7.15613568900153e-05,1.484069707657909e-05,5.3863295761402696e-05,2.857362233044114e-06,0.0,27,0.0001049480342771858,2.485690674802754e-05,7.747309427941218e-05,2.6180382519669365e-06,0.0,28
13,650,0.00012730780872516334,2.4539169316994958e-05,9.947495709639043e-05,3.2936827665253077e-06,0.0,22,9.408737241756171e-05,1.86175911949249e-05,7.215403456939384e-05,3.315747107990319e-06,0.0,25,7.471795834135264e-05,1.983517904591281e-05,5.2433741075219586e-05,2.449034354867763e-06,0.0,20,6.799675611546263e-05,1.2502032404881902e-05,5.257939119474031e-05,2.9153272862458834e-06,0.0,27,0.00010374283738201484,2.610869523778092e-05,7.503847155021504e-05,2.595670139271533e-06,0.0,28
14,700,0.0001221967686433345,2.338492777198553e-05,9.543192572891712e-05,3.3799110497056972e-06,0.0,22,7.524237298639491e-05,1.5046510270622093e-05,5.6873552239267156e-05,3.3223111586266896e-06,0.0,25,6.792673957534134e-05,1.6631440303171985e-05,4.882130087935366e-05,2.473997483321e-06,0.0,20,6.156248855404556e-05,1.1763175280066207e-05,4.68259459012188e-05,2.9733650990237948e-06,0.0,27,8.111648639896885e-05,2.14666360989213e-05,5.706653973902576e-05,2.583306923042983e-06,0.0,28
15,750,0.00012074253027094528,2.3901078748167492e-05,9.336709626950324e-05,3.4743602554954123e-06,0.0,22,7.414811989292502e-05,1.6436015357612632e-05,5.438640437205322e-05,3.3257010727538727e-06,0.0,25,6.500973540823907e-05,1.656165659369435e-05,4.596565122483298e-05,2.482425998096005e-06,0.0,20,5.901967961108312e-05,1.243687620444689e-05,4.35593246947974e-05,3.0234816676966147e-06,0.0,26,7.66880766605027e-05,2.2704012735630386e-05,5.141100336913951e-05,2.5730639663379407e-06,0.0,28
16,800,0.00011983014701399952,2.250988472951576e-05,9.375264926347882e-05,3.567616658983752e-06,0.0,22,7.177669613156468e-05,1.610489380254876e-05,5.234110722085461e-05,3.330696245029685e-06,0.0,25,5.932037311140448e-05,1.3681367818207946e-05,4.315116166253574e-05,2.48784317591344e-06,0.0,20,5.794233220512979e-05,1.3266682799439877e-05,4.154822090640664e-05,3.1274275897885673e-06,0.0,25,7.761493907310069e-05,1.9729812265723012e-05,5.53182399016805e-05,2.5668884973129025e-06,0.0,28
17,850,0.000122280529467389,2.5438041120651178e-05,9.318949742009863e-05,3.6529866065393435e-06,0.0,21,6.575962470378727e-05,1.6482294086017646e-05,4.594632628140971e-05,3.3310031994915335e-06,0.0,25,5.639592563966289e-05,1.3478522305376828e-05,4.04332677135244e-05,2.484134711266961e-06,0.0,20,5.070967017672956e-05,1.000804240902653e-05,3.75079398509115e-05,3.193687916791532e-06,0.0,24,6.486353231593966e-05,1.728873758111149e-05,4.500699651543982e-05,2.5678032216092106e-06,0.0,28
18,900,0.00010641156404744834,1.8728194845607504e-05,8.396508928854018e-05,3.7182737742114114e-06,0.0,21,6.372533971443772e-05,1.48159761010902e-05,4.556822023005225e-05,3.341138608448091e-06,0.0,25,5.292368950904347e-05,1.2390059964673128e-05,3.805678352364339e-05,2.476846248100628e-06,0.0,20,4.826527583645657e-05,9.42100723477779e-06,3.5578203096520156e-05,3.2660652777849464e-06,0.0,24,6.498659058706835e-05,1.849354157457128e-05,4.3928394006798044e-05,2.564654096204322e-06,0.0,27
19,950,9.409306949237362e-05,1.6437412341474555e-05,7.387774530798197e-05,3.7779120702907676e-06,0.0,21,5.837587741552852e-05,1.442729899281403e-05,4.0596041799290106e-05,3.3525370781717356e-06,0.0,25,4.9919555749511346e-05,1.1628299034782685e-05,3.5817549360217527e-05,2.4737048534007045e-06,0.0,20,4.515771070146002e-05,9.156318810710218e-06,3.268876753281802e-05,3.3126248126791324e-06,0.0,24,6.689612928312272e-05,1.7645996194914915e-05,4.668638212024234e-05,2.563750285844435e-06,0.0,26
