,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5
0,0.0,0.3264874815940857,0.001197556033730507,9.999999747378752e-06,0.0,60,0.36401352286338806,0.0011441110400483012,9.999999747378752e-06,0.0,60,0.37017694115638733,0.0009815669618546963,9.999999747378752e-06,0.0,60,0.3704138994216919,0.0008638451108708978,9.999999747378752e-06,0.0,60,0.3354977071285248,0.0010120311053469777,9.999999747378752e-06,0.0,60,0.34762176871299744,0.0015777158550918102,9.999999747378752e-06,0.0,60
1,50.0,0.06498099118471146,0.0014058511005714536,9.207653420162387e-06,0.0,60,0.08955557644367218,0.00114411860704422,9.109441634791438e-06,0.0,60,0.08366350829601288,0.0009854190284386277,9.110818609769922e-06,0.0,60,0.06561279296875,0.0008662036852911115,9.117051376961172e-06,0.0,60,0.07251974195241928,0.001011678366921842,9.143318493443076e-06,0.0,60,0.07513494044542313,0.002200549701228738,9.006662367028184e-06,0.0,60
2,100.0,0.040031369775533676,0.00121630250941962,9.073665751202498e-06,0.0,60,0.042336802929639816,0.0011350818676874042,8.656171303300653e-06,0.0,60,0.03653791919350624,0.000983217847533524,8.855375199345872e-06,0.0,60,0.031221916899085045,0.000858008919749409,8.53193887451198e-06,0.0,60,0.03584790974855423,0.0010119517100974917,8.749734661250841e-06,0.0,60,0.041523098945617676,0.002090296009555459,7.744998583802953e-06,0.0,60
3,150.0,0.036933258175849915,0.00122540513984859,8.954065378929954e-06,0.0,60,0.03616130352020264,0.0011267020599916577,8.44396618049359e-06,0.0,60,0.030566371977329254,0.0009768599411472678,8.669084309076425e-06,0.0,60,0.025938719511032104,0.0008432665490545332,8.21847152110422e-06,0.0,60,0.030686233192682266,0.0009907912462949753,8.52165339892963e-06,0.0,60,0.03779887035489082,0.0018685453105717897,7.29201110516442e-06,0.0,60
4,200.0,0.026325350627303123,0.0013469646219164133,8.773852641752455e-06,0.0,60,0.0220384132117033,0.0010591208701953292,8.193260327971075e-06,0.0,60,0.028047777712345123,0.000959239958319813,8.511104169883765e-06,0.0,60,0.015538306906819344,0.0007682321593165398,8.004101800906938e-06,0.0,60,0.016311578452587128,0.0008475410286337137,8.44287387735676e-06,0.0,60,0.030443301424384117,0.001795371761545539,7.0169594437174965e-06,0.0,60
5,250.0,0.015628226101398468,0.0012735141208395362,8.312264071719255e-06,0.0,59,0.013754405081272125,0.0009556874865666032,8.007892574823927e-06,0.0,60,0.01703222468495369,0.0008680513128638268,8.403341780649498e-06,0.0,60,0.009930795058608055,0.0006800155970267951,7.802152140357066e-06,0.0,60,0.011243041604757309,0.000736231857445091,8.357225851796102e-06,0.0,60,0.016762278974056244,0.001751674572005868,6.311300694505917e-06,0.0,60
6,300.0,0.011936699971556664,0.0011381834046915174,7.963480129546952e-06,0.0,58,0.011072632856667042,0.0008825635886751115,7.97951543063391e-06,0.0,58,0.011423464864492416,0.0007775790290907025,8.2326705523883e-06,0.0,59,0.008106333203613758,0.0006222018273547292,7.642910532013047e-06,0.0,56,0.009400369599461555,0.0006276853382587433,8.272771992778871e-06,0.0,57,0.012812294065952301,0.0016238486859947443,5.899613825022243e-06,0.0,60
7,350.0,0.010404173284769058,0.0010298803681507707,7.747846211714204e-06,0.0,57,0.009820462204515934,0.000825946219265461,8.070542207860854e-06,0.0,54,0.009270337410271168,0.0007409707177430391,8.184661965060513e-06,0.0,56,0.007207128684967756,0.0005700647016055882,7.585503681184491e-06,0.0,48,0.008384515531361103,0.0005581182194873691,8.204739060602151e-06,0.0,54,0.011259614489972591,0.0015487867640331388,5.662919647875242e-06,0.0,58
8,400.0,0.009463038295507431,0.0009371789637953043,7.6286914918455295e-06,0.0,56,0.00902896374464035,0.0007879249169491231,8.218604307330679e-06,0.0,51,0.008070698007941246,0.0007161642424762249,8.234313099819701e-06,0.0,52,0.006606802344322205,0.0005156478728167713,7.5951670623908285e-06,0.0,46,0.00766599690541625,0.0005167573690414429,8.168333806679584e-06,0.0,53,0.010359391570091248,0.0014998301630839705,5.524848347704392e-06,0.0,57
9,450.0,0.00875774398446083,0.000846280949190259,7.566940439573955e-06,0.0,53,0.008462862111628056,0.0007648496539331973,8.36190338304732e-06,0.0,50,0.007236112840473652,0.0006956383003853261,8.368246199097484e-06,0.0,50,0.0061645484529435635,0.00047322644968517125,7.49620676288032e-06,0.0,44,0.007089781109243631,0.0004888885887339711,8.153701855917461e-06,0.0,52,0.009685708209872246,0.001457888400182128,5.417823558673263e-06,0.0,54
