,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3
11,550,9.911519737215713e-05,2.9458435164997354e-05,6.645196845056489e-05,3.204786935384618e-06,0.0,36,0.00010920353088295087,3.830849891528487e-05,6.814984226366505e-05,2.7451931146060815e-06,0.0,31,5.512932693818584e-05,1.2540901479951572e-05,3.98338379454799e-05,2.7545859211386414e-06,0.0,22,6.720739474985749e-05,1.957065069291275e-05,4.4123797124484554e-05,3.5129501156916376e-06,0.0,26
12,600,9.104033233597875e-05,2.6916657589026727e-05,6.092991679906845e-05,3.1937577205098933e-06,0.0,36,9.84159269137308e-05,3.432570520089939e-05,6.136042065918446e-05,2.729799007283873e-06,0.0,29,5.112940925755538e-05,1.15582324724528e-05,3.6775818443857133e-05,2.795356067508692e-06,0.0,22,6.139524339232594e-05,1.7870737792691216e-05,3.9930713683133945e-05,3.5937937354901806e-06,0.0,26
13,650,8.317558240378276e-05,2.4103921532514505e-05,5.589469583355822e-05,3.176965265083709e-06,0.0,35,9.249272261513397e-05,3.07907976093702e-05,5.898315066588111e-05,2.7187704745301744e-06,0.0,28,4.742477904073894e-05,1.0801615644595586e-05,3.379242480150424e-05,2.8307413231232204e-06,0.0,21,5.9263988077873364e-05,1.64797565957997e-05,3.913722684956156e-05,3.6470057693804847e-06,0.0,26
14,700,7.686590106459334e-05,2.4224098524427973e-05,4.947330671711825e-05,3.168497869410203e-06,0.0,34,9.071437671082094e-05,2.966056672448758e-05,5.83377513976302e-05,2.7160588160768384e-06,0.0,28,4.45834084530361e-05,9.390615559823345e-06,3.2322597689926624e-05,2.870194748538779e-06,0.0,21,5.3653282520826906e-05,1.4273587112256791e-05,3.569268301362172e-05,3.687011485453695e-06,0.0,26
15,750,7.348892540903762e-05,2.5494582587270997e-05,4.481915675569326e-05,3.1751856113260146e-06,0.0,33,8.22305228211917e-05,2.5998990167863667e-05,5.352235893951729e-05,2.7091759875474963e-06,0.0,28,4.2492181819397956e-05,9.342115845356602e-06,3.0238767067203298e-05,2.9113014079484856e-06,0.0,21,4.8338104534195736e-05,1.1791954420914408e-05,3.281453246017918e-05,3.731616970981122e-06,0.0,26
16,800,7.72915591369383e-05,2.6527055524638854e-05,4.759844523505308e-05,3.1660608783568023e-06,0.0,33,7.98090040916577e-05,2.5092540454352275e-05,5.198537473916076e-05,2.7310925361234695e-06,0.0,27,3.8667654735036194e-05,8.588875061832368e-06,2.7132200557389297e-05,2.94658207167231e-06,0.0,21,4.6057837607804686e-05,1.0733520866779145e-05,3.1542549550067633e-05,3.781764917221153e-06,0.0,25
17,850,6.886792107252404e-05,2.594288162072189e-05,3.977403321187012e-05,3.151008058921434e-06,0.0,33,7.598180673085153e-05,2.342950574529823e-05,4.9817223043646663e-05,2.7350795335223665e-06,0.0,26,3.700841625686735e-05,7.966807970660739e-06,2.605083500384353e-05,2.990775556099834e-06,0.0,21,4.18336785514839e-05,9.18416026252089e-06,2.88287628791295e-05,3.820752681349404e-06,0.0,25
18,900,6.576637679245323e-05,2.3930788302095607e-05,3.869288048008457e-05,3.1427020985574927e-06,0.0,33,7.466646638931707e-05,1.9492237697704695e-05,5.245875581749715e-05,2.7154751478519756e-06,0.0,25,3.613991430029273e-05,7.311547960853204e-06,2.578937346697785e-05,3.0389912808459485e-06,0.0,20,3.968159217038192e-05,8.614344551460817e-06,2.7213838620809838e-05,3.853409907605965e-06,0.0,25
19,950,6.15539975115098e-05,2.4729537472012453e-05,3.368211764609441e-05,3.142338073303108e-06,0.0,33,6.965168722672388e-05,1.8638469555298798e-05,4.828415694646537e-05,2.7290611797070596e-06,0.0,24,3.389667836017907e-05,6.839325124019524e-06,2.3966456865309738e-05,3.0908952339814277e-06,0.0,20,3.840188219328411e-05,8.429628906014841e-06,2.606877933430951e-05,3.903475771949161e-06,0.0,25
20,1000,6.39564314042218e-05,2.396424679318443e-05,3.6847879528068006e-05,3.1443075840797974e-06,0.0,33,6.714725168421865e-05,1.8069058569381014e-05,4.635597360902466e-05,2.7222224616707535e-06,0.0,24,3.5039476642850786e-05,7.314007234526798e-06,2.457266964484006e-05,3.15280158247333e-06,0.0,19,3.5873639717465267e-05,7.6514015745488e-06,2.4270095309475437e-05,3.952142378693679e-06,0.0,25
21,1050,5.709131437470205e-05,2.355333708692342e-05,3.0381439501070417e-05,3.1565393783239415e-06,0.0,31,6.504816701635718e-05,1.7268290321226232e-05,4.506445839069784e-05,2.715415348575334e-06,0.0,24,3.2295603887178004e-05,6.582919922948349e-06,2.2522017388837412e-05,3.1906674848869443e-06,0.0,19,3.55674528691452e-05,7.914933121355716e-06,2.365383079450112e-05,3.998689408035716e-06,0.0,24
