,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.15267716348171234,0.1471688151359558,0.0055064912885427475,1.865296781033976e-06,0.0,60,0.0
1,50,0.0065959179773926735,0.003523752326145768,0.0030644270591437817,7.738673957646824e-06,0.0,60,0.0
2,100,0.0034821112640202045,0.0019996538758277893,0.0014745410298928618,7.916138201835565e-06,0.0,55,0.0
3,150,0.002264109207317233,0.0011649528751149774,0.0010894283186644316,9.727882570587099e-06,0.0,47,0.0
4,200,0.0016725522000342607,0.0008279497269541025,0.0008335476741194725,1.1054858987336047e-05,0.0,45,0.0
5,250,0.0012983107008039951,0.000595404882915318,0.0006901937304064631,1.2711939234577585e-05,0.0,42,0.0
6,300,0.0011245663044974208,0.000456461391877383,0.0006542005576193333,1.3904177649237681e-05,0.0,40,0.0
7,350,0.001009871019050479,0.0003679375222418457,0.0006272330647334456,1.4700444808113389e-05,0.0,39,0.2857142857142857
8,400,0.000953101902268827,0.00031709452741779387,0.0006205383106134832,1.546900784887839e-05,0.0,38,0.2857142857142857
9,450,0.0008743144571781158,0.00028082323842681944,0.0005772646982222795,1.622653508093208e-05,0.0,38,0.2857142857142857
10,500,0.0007840616744942963,0.000255939899943769,0.000511276419274509,1.6845371646923013e-05,0.0,38,0.2857142857142857
11,550,0.0007218213868327439,0.0002391541056567803,0.0004653116047848016,1.7355680029140785e-05,0.0,38,0.2857142857142857
12,600,0.0007039386546239257,0.0002309012779733166,0.00045506044989451766,1.7976930394070223e-05,0.0,36,0.2857142857142857
13,650,0.0006922876928001642,0.0002216850989498198,0.000452159671112895,1.844291364250239e-05,0.0,36,0.2857142857142857
14,700,0.0006879938882775605,0.0002113431110046804,0.0004578111111186445,1.8839682525140233e-05,0.0,36,0.2857142857142857
15,750,0.0007002844358794391,0.00020525279978755862,0.0004758057475555688,1.9225897631258704e-05,0.0,35,0.2857142857142857
16,800,0.0006871842779219151,0.00019828919903375208,0.0004693505179602653,1.95446173165692e-05,0.0,35,0.2857142857142857
17,850,0.0006679069483652711,0.00018941349117085338,0.00045865841093473136,1.9835053535643965e-05,0.0,35,0.2857142857142857
18,900,0.0006445011822506785,0.00018025594181381166,0.0004440941847860813,2.015104291785974e-05,0.0,35,0.2857142857142857
19,950,0.0006204245146363974,0.00017406887491233647,0.0004259027191437781,2.0452960598049685e-05,0.0,35,0.2857142857142857
20,1000,0.0006089397356845438,0.0001696705148788169,0.00041844995575957,2.0819277779082768e-05,0.0,34,0.2857142857142857
21,1050,0.0006216588662937284,0.00017078669043257833,0.00042977798148058355,2.1094239855301566e-05,0.0,34,0.2857142857142857
22,1100,0.0006233658641576767,0.00016577998758293688,0.00043625806574709713,2.132775989593938e-05,0.0,34,0.2857142857142857
23,1150,0.0006341885891743004,0.0001604498247615993,0.0004523267853073776,2.14119518204825e-05,0.0,33,0.2857142857142857
24,1200,0.0006516585708595812,0.00015906867338344455,0.000470979226520285,2.1610690964735113e-05,0.0,33,0.2857142857142857
25,1250,0.0006706950371153653,0.00016000287723727524,0.0004888951079919934,2.1797088265884668e-05,0.0,33,0.2857142857142857
26,1300,0.0006900986190885305,0.00016309368947986513,0.0005050469771958888,2.195798333559651e-05,0.0,33,0.2857142857142857
27,1350,0.0007072006119415164,0.00016815947310533375,0.0005169511423446238,2.209004742326215e-05,0.0,33,0.2857142857142857
28,1400,0.0007195163634605706,0.00017555021622683853,0.0005217462312430143,2.221989598183427e-05,0.0,33,0.2857142857142857
29,1450,0.0007343957549892366,0.00018305276171304286,0.0005289861001074314,2.2356878616847098e-05,0.0,33,0.2857142857142857
30,1500,0.0007496947655454278,0.0001915218454087153,0.0005356952315196395,2.2477728634839877e-05,0.0,33,0.2857142857142857
31,1550,0.0007681277929805219,0.0001995212078327313,0.000546023016795516,2.2583557438338175e-05,0.0,33,0.2857142857142857
32,1600,0.0007901110220700502,0.00020903185941278934,0.0005584030295722187,2.2676071239402518e-05,0.0,33,0.2857142857142857
33,1650,0.0007840643520466983,0.00021155177091713995,0.0005497561651282012,2.2756414182367735e-05,0.0,33,0.2857142857142857
34,1700,0.0007843119092285633,0.00021993265545461327,0.000541516812518239,2.2862397599965334e-05,0.0,32,0.2857142857142857
35,1750,0.0007667503668926656,0.0002278201573062688,0.0005159872816875577,2.2942993382457644e-05,0.0,31,0.2857142857142857
36,1800,0.0007614567293785512,0.0002322102227481082,0.000506279116962105,2.2967387849348597e-05,0.0,31,0.2857142857142857
37,1850,0.000786309945397079,0.00023735847207717597,0.000525990326423198,2.296116690558847e-05,0.0,31,0.2857142857142857
38,1900,0.0007875164737924933,0.00023851766309235245,0.0005260350299067795,2.296371712873224e-05,0.0,31,0.2857142857142857
39,1950,0.0007760029402561486,0.0002401618694420904,0.0005128932534717023,2.2947815523366444e-05,0.0,31,0.2857142857142857
40,2000,0.0007934208260849118,0.00024412399216089398,0.0005263358470983803,2.2960957721807063e-05,0.0,31,0.2857142857142857
