,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1
0,0.0,0.37916743755340576,0.0010521155782043934,9.999999747378752e-06,0.0,60,0.3800622820854187,0.0012018221896141768,9.999999747378752e-06,0.0,60
1,50.0,0.0752483382821083,0.0010518499184399843,9.084643352252897e-06,0.0,60,0.07759182900190353,0.0012379728723317385,9.219968887919094e-06,0.0,60
2,100.0,0.03606109693646431,0.0010513529414311051,8.554250598535873e-06,0.0,60,0.038687415421009064,0.0012180742342025042,8.871825230016839e-06,0.0,60
3,150.0,0.030510351061820984,0.0010299900313839316,8.229498234868515e-06,0.0,60,0.03261498361825943,0.0012062820605933666,8.630976481072139e-06,0.0,60
4,200.0,0.017413301393389702,0.0009695114567875862,7.840851139917504e-06,0.0,60,0.018711937591433525,0.0011108738835901022,8.426015483564697e-06,0.0,60
5,250.0,0.011949907056987286,0.0008994780364446342,7.492032636946533e-06,0.0,60,0.014223161153495312,0.0010313012171536684,8.301685738842934e-06,0.0,60
6,300.0,0.009816429577767849,0.0008476469665765762,7.3773139774857555e-06,0.0,54,0.012274108827114105,0.0009750322788022459,8.19447905087145e-06,0.0,58
7,350.0,0.008677800185978413,0.0008104382432065904,7.4314539233455434e-06,0.0,49,0.011048826389014721,0.0009342983248643577,8.109279406198766e-06,0.0,56
8,400.0,0.007871810346841812,0.0007650334155187011,7.562142400274752e-06,0.0,45,0.01016321126371622,0.000909365713596344,8.034817255975213e-06,0.0,54
9,450.0,0.007258250378072262,0.0007094605825841427,7.676576387893874e-06,0.0,44,0.009497136808931828,0.0008916030637919903,7.971044396981597e-06,0.0,53
10,500.0,0.0067798299714922905,0.0006492012762464583,7.668781108804978e-06,0.0,42,0.008975105360150337,0.0008775414316914976,7.905175152700394e-06,0.0,51
11,550.0,0.006393837742507458,0.0006027337512932718,7.582837952213595e-06,0.0,41,0.008541599847376347,0.0008656497811898589,7.848777386243455e-06,0.0,51
12,600.0,0.006070303730666637,0.0005700086476281285,7.486004051315831e-06,0.0,41,0.008150451816618443,0.0008542396244592965,7.786090463923756e-06,0.0,49
13,650.0,0.005788580048829317,0.0005427643773145974,7.3890896601369604e-06,0.0,41,0.007703619077801704,0.000842593377456069,7.731375262665097e-06,0.0,49
14,700.0,0.005535713862627745,0.0005160532309673727,7.324189937207848e-06,0.0,39,0.006752735935151577,0.0008428112487308681,7.689412996114697e-06,0.0,47
15,750.0,0.005283593665808439,0.0004904246889054775,7.2863367677200586e-06,0.0,38,0.005193524062633514,0.000839891959913075,7.650245606782846e-06,0.0,45
16,800.0,0.004940961953252554,0.00046493863919749856,7.288855613296619e-06,0.0,38,0.004196197260171175,0.0008081672713160515,7.533381449320586e-06,0.0,43
17,850.0,0.004043632186949253,0.0004636053345166147,7.338651812460739e-06,0.0,36,0.003514043753966689,0.0007915694732218981,7.388842732325429e-06,0.0,41
18,900.0,0.002544859191402793,0.000468388112494722,7.423229817504762e-06,0.0,34,0.003037978196516633,0.0007660599076189101,7.27398992239614e-06,0.0,39
19,950.0,0.0019258212996646762,0.0004544427793007344,7.490519692510134e-06,0.0,34,0.0026979572139680386,0.0007508409908041358,7.178207397373626e-06,0.0,37
20,1000.0,0.0014981965068727732,0.0004499375354498625,7.49232867747196e-06,0.0,34,0.002433852292597294,0.0007333739777095616,7.103370990080293e-06,0.0,35
21,1050.0,0.0012233511079102755,0.00043946850928477943,7.448040832969127e-06,0.0,33,0.0022350139915943146,0.000715646892786026,7.0471505750902e-06,0.0,35
22,1100.0,0.00104250549338758,0.0004230552585795522,7.3940759648394305e-06,0.0,33,0.0020659270230680704,0.0006971401744522154,6.994731393206166e-06,0.0,35
23,1150.0,0.0009162265341728926,0.000408512627473101,7.3385622272326145e-06,0.0,32,0.0019367034547030926,0.0006772385677322745,6.943354492250364e-06,0.0,33
24,1200.0,0.0008416096679866314,0.00039197903242893517,7.290748726518359e-06,0.0,28,0.0018031913787126541,0.0006654346943832934,6.914730420248816e-06,0.0,31
25,1250.0,0.000766779703553766,0.0003795849625021219,7.2964785431395285e-06,0.0,27,0.0017074529314413667,0.0006543536437675357,6.9100533437449485e-06,0.0,31
26,1300.0,0.0007017211755737662,0.0003683473914861679,7.3309724939463194e-06,0.0,27,0.001603070180863142,0.0006406143656931818,6.911484888405539e-06,0.0,30
27,1350.0,0.0006596659077331424,0.0003587006067391485,7.377055680990452e-06,0.0,26,0.0015181051567196846,0.000629821908660233,6.9122243075980805e-06,0.0,30
28,1400.0,0.0006270871963351965,0.0003504800843074918,7.428885055560386e-06,0.0,26,0.0014477618969976902,0.0006193253793753684,6.925128673174186e-06,0.0,30
29,1450.0,0.0005972955841571093,0.00034276588121429086,7.481090960936854e-06,0.0,26,0.0013819283340126276,0.0006085835047997534,6.940368621144444e-06,0.0,30
30,1500.0,0.0005752223660238087,0.00033522179001010954,7.536008070019307e-06,0.0,26,0.0013424173230305314,0.0005977831897325814,6.958641279197764e-06,0.0,30
31,1550.0,0.0005506054731085896,0.0003290565509814769,7.59324939281214e-06,0.0,26,0.0012893967796117067,0.0005872351466678083,6.977766588533996e-06,0.0,30
32,1600.0,0.0005333673325367272,0.00032282195752486587,7.65405911806738e-06,0.0,26,0.0012153669958934188,0.000578001665417105,6.998805929470109e-06,0.0,30
33,1650.0,0.0005150358192622662,0.0003169180708937347,7.718734195805155e-06,0.0,26,0.0011699809692800045,0.0005668350495398045,7.020354132691864e-06,0.0,30
