,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5
10,500,0.0010753135429695249,0.0005202185711823404,0.0005478318780660629,7.263093266374199e-06,0.0,41,0.0006830806378275156,0.0003922649775631726,0.00028326764004305005,7.548027951997938e-06,0.0,44,0.0009283527615480125,0.000387293694075197,0.0005330214626155794,8.037592124310322e-06,0.0,47,0.0012404824374243617,0.000534485443495214,0.0006981546757742763,7.842322702344973e-06,0.0,49,0.0006734346970915794,0.0002512722567189485,0.00041439683991484344,7.76558863435639e-06,0.0,45,0.0004711067886091769,0.00022648881713394076,0.00023603274894412607,8.58521343616303e-06,0.0,42
11,550,0.0009491794626228511,0.0004229927435517311,0.0005187644856050611,7.422244834742742e-06,0.0,40,0.000576580292545259,0.0003265246923547238,0.00024234365264419466,7.71194481785642e-06,0.0,39,0.000747742538806051,0.0002695159346330911,0.000469954771688208,8.27184794616187e-06,0.0,41,0.0011771261924877763,0.0004990773159079254,0.0006699677905999124,8.081086889433209e-06,0.0,45,0.0005915851797908545,0.0002150115615222603,0.0003687066782731563,7.866966370784212e-06,0.0,42,0.00039221165934577584,0.0001717968116281554,0.00021167600061744452,8.738837095734198e-06,0.0,39
12,600,0.0008664935594424605,0.0003697602078318596,0.0004891423159278929,7.591041139676236e-06,0.0,40,0.0004944250686094165,0.0002675929863471538,0.00021895549434702843,7.876630661485251e-06,0.0,39,0.00062088284175843,0.00020924655837006867,0.00040312614873982966,8.510154657415114e-06,0.0,41,0.0010778069263324142,0.00042514599044807255,0.0006443760357797146,8.28490829007933e-06,0.0,45,0.0005265529616735876,0.00018731933960225433,0.0003312530170660466,7.980626833159477e-06,0.0,42,0.00033326284028589725,0.0001291248481720686,0.00019525745301507413,8.880549103196245e-06,0.0,39
13,650,0.0007652929052710533,0.00030360359232872725,0.0004539392830338329,7.74998352426337e-06,0.0,39,0.0004497139307204634,0.00023119940306060016,0.0002105071471305564,8.007376891328022e-06,0.0,37,0.0005340982461348176,0.00017770472913980484,0.0003476582933217287,8.735215487831738e-06,0.0,40,0.0010310314828529954,0.00040776346577331424,0.0006147698150016367,8.498228453390766e-06,0.0,42,0.000498807814437896,0.0001840512704802677,0.00030668891849927604,8.067622729868162e-06,0.0,37,0.000293738063191995,0.00010156230564462021,0.00018314910994376987,9.026645784615539e-06,0.0,38
14,700,0.0006857165135443211,0.00026319269090890884,0.00041465333197265863,7.870477020333055e-06,0.0,39,0.0004532665479928255,0.00024338568618986756,0.0002017708757193759,8.109991540550254e-06,0.0,37,0.000489436904899776,0.00017525981820654124,0.0003052270913030952,8.950017218012363e-06,0.0,40,0.0009764799615368247,0.00037735875230282545,0.0005903978599235415,8.723377504793461e-06,0.0,42,0.0004753755347337574,0.00017959422257263213,0.00028759875567629933,8.182564670278225e-06,0.0,37,0.0003213597519788891,0.00013794992992188781,0.00017421210941392928,9.197704457619693e-06,0.0,38
15,750,0.0006105722859501839,0.00023191077343653888,0.00037068279925733805,7.978719622769859e-06,0.0,38,0.0003880319418385625,0.00018643832299858332,0.0001933871244546026,8.206501661334187e-06,0.0,37,0.00041860475903376937,0.00013181469694245607,0.00027766049606725574,9.129582394962199e-06,0.0,39,0.0009258629870600998,0.00035624674637801945,0.0005606514750979841,8.964732842287049e-06,0.0,41,0.00043002862366847694,0.00015358382370322943,0.00026812939904630184,8.315408194903284e-06,0.0,36,0.0002501346170902252,7.126962736947462e-05,0.00016951850557234138,9.34649597184034e-06,0.0,36
16,800,0.0005280716577544808,0.00019543833332136273,0.00032457124325446784,8.062109372986015e-06,0.0,38,0.0004467623948585242,0.0002500885457266122,0.00018837615789379925,8.297695785586257e-06,0.0,37,0.0003960105241276324,0.0001288854400627315,0.00025779259158298373,9.332497938885354e-06,0.0,39,0.000867109396494925,0.00034252527984790504,0.0005153806414455175,9.20346337807132e-06,0.0,41,0.00040266464930027723,0.00014189774810802191,0.0002523401053622365,8.426795830018818e-06,0.0,36,0.00022709346376359463,5.42436282557901e-05,0.00016338595014531165,9.463887181482278e-06,0.0,36
17,850,0.00047567480942234397,0.00018269511929247528,0.0002846951538231224,8.284533578262199e-06,0.0,37,0.00034318401594646275,0.0001546653948025778,0.00018009131599683315,8.427295142610092e-06,0.0,34,0.00038701988523826003,0.0001370706013403833,0.0002403778489679098,9.571445843903348e-06,0.0,36,0.0008254978456534445,0.00035042857052758336,0.0004656898381654173,9.379397852171678e-06,0.0,40,0.000377906282665208,0.00012955794227309525,0.0002398295036982745,8.518828508385923e-06,0.0,35,0.000224339310079813,5.6770342780509964e-05,0.00015800038818269968,9.568583664076868e-06,0.0,36
18,900,0.00043714061030186713,0.00017494449275545776,0.000253604055615142,8.592069207224995e-06,0.0,37,0.0003310466418042779,0.00014754947915207595,0.00017496665532235056,8.530517334293108e-06,0.0,34,0.00035260446020402014,0.00011347703548381105,0.00022931606508791447,9.811370546231046e-06,0.0,36,0.0007711708312854171,0.0003466157359071076,0.00041499966755509377,9.55540053837467e-06,0.0,40,0.0003631036088336259,0.0001265357859665528,0.00022792302479501814,8.644811714475509e-06,0.0,35,0.00021252148144412786,5.019677701056935e-05,0.00015264189278241247,9.682816198619548e-06,0.0,36
19,950,0.0003751656040549278,0.00013576829223893583,0.00023048376897349954,8.913535566534847e-06,0.0,37,0.0003356889938004315,0.0001561781100463122,0.0001708614727249369,8.649411029182374e-06,0.0,33,0.00035074123297818005,0.00012297237117309123,0.00021772658510599285,1.0042273970611859e-05,0.0,36,0.0007162293768487871,0.00034057797165587544,0.0003659265930764377,9.724792107590474e-06,0.0,40,0.00036115231341682374,0.0001367022341582924,0.00021565760835073888,8.792482731223572e-06,0.0,35,0.00019726603932213038,4.079875725437887e-05,0.00014667163486592472,9.795648111321498e-06,0.0,36
