,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,total_7,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7,total_8,decoder_8,sindy_x_8,reg_8,sindy_z_8,active_coeffs_8,coeff_8,total_9,decoder_9,sindy_x_9,reg_9,sindy_z_9,active_coeffs_9,coeff_9
10,500,6.57143464195542e-05,1.8535536582930945e-05,4.1256080294260755e-05,5.922732270846609e-06,0.0,42,0.0,5.459171734401025e-05,2.0631890947697684e-05,2.8627331630559638e-05,5.3324947657529265e-06,0.0,42,0.0,3.950583777623251e-05,1.5315416021621786e-05,1.9281156710349023e-05,4.909261861030245e-06,0.0,38,0.0,3.475598350632936e-05,1.0323961760150269e-05,1.816259100451134e-05,6.2694321059098e-06,0.0,45,0.0,6.023696550983004e-05,1.884231278381776e-05,3.552717316779308e-05,5.867482741450658e-06,0.0,39,0.0,3.958538582082838e-05,1.4727643247169908e-05,1.8710907170316204e-05,6.146833129605511e-06,0.0,44,0.0,9.221251821145415e-05,3.528564047883265e-05,5.018420779379085e-05,6.742674031556817e-06,0.0,38,0.0,5.017407238483429e-05,9.583719474903774e-06,3.183110311510973e-05,8.759247975831386e-06,0.0,44,0.0,3.996568557340652e-05,1.272632107429672e-05,1.893728222057689e-05,8.302081369038206e-06,0.0,43,0.0,3.2275289413519204e-05,6.920598480064655e-06,1.6955051250988618e-05,8.399638318223879e-06,0.0,42,0.0
11,550,5.652687468682416e-05,1.4935016224626452e-05,3.5609275073511526e-05,5.98258338868618e-06,0.0,42,0.0,4.889886986347847e-05,1.786021857697051e-05,2.5651344913057983e-05,5.3873031902185176e-06,0.0,42,0.0,3.264821498305537e-05,1.2059892469551414e-05,1.5646313840989023e-05,4.942007308272878e-06,0.0,38,0.0,3.2458581699756905e-05,9.173061698675156e-06,1.696134677331429e-05,6.324171863525407e-06,0.0,45,0.0,5.736618913942948e-05,1.726421578496229e-05,3.418191408854909e-05,5.9200601754128e-06,0.0,37,0.0,3.5506163840182126e-05,1.2454950592655223e-05,1.6839385352795944e-05,6.211827894730959e-06,0.0,43,0.0,8.186338527593762e-05,3.038099930563476e-05,4.466714744921774e-05,6.815234428358963e-06,0.0,38,0.0,4.537385029834695e-05,7.823708983778488e-06,2.8590944566531107e-05,8.959196748037357e-06,0.0,43,0.0,3.418559572310187e-05,8.905524737201631e-06,1.6915246305870824e-05,8.364824680029415e-06,0.0,43,0.0,3.069794183829799e-05,7.288886536116479e-06,1.487751978856977e-05,8.531535058864392e-06,0.0,40,0.0
12,600,5.050130494055338e-05,1.3600746569863986e-05,3.087122968281619e-05,6.029328687873203e-06,0.0,41,0.0,4.3781848944490775e-05,1.5401023119920865e-05,2.2919672119314782e-05,5.46115461474983e-06,0.0,41,0.0,2.87144175672438e-05,1.0007995115302037e-05,1.3737407243752386e-05,4.9690161176840775e-06,0.0,38,0.0,3.059953451156616e-05,8.311201781907585e-06,1.592066473676823e-05,6.367668447637698e-06,0.0,44,0.0,4.8705907829571515e-05,1.5281451851478778e-05,2.7478441552375443e-05,5.946015789959347e-06,0.0,37,0.0,3.3297146728727967e-05,1.1037391232093796e-05,1.599807910679374e-05,6.261678208829835e-06,0.0,43,0.0,7.084292155923322e-05,2.5518180336803198e-05,3.8450871215900406e-05,6.873866368550807e-06,0.0,37,0.0,4.253311635693535e-05,7.188176368799759e-06,2.618313919811044e-05,9.161802154267207e-06,0.0,41,0.0,3.203254527761601e-05,8.302113201352768e-06,1.5321731552830897e-05,8.408700523432344e-06,0.0,43,0.0,2.8043141355738044e-05,6.346932877931977e-06,1.3094650057610124e-05,8.601558874943294e-06,0.0,40,0.0
13,650,4.4770062231691554e-05,1.2489089385780971e-05,2.621514067868702e-05,6.065830348234158e-06,0.0,41,0.0,4.030844502267428e-05,1.39432768264669e-05,2.0855877664871514e-05,5.509288712346461e-06,0.0,41,0.0,2.652287730597891e-05,9.044086255016737e-06,1.2484911167121027e-05,4.993878064851742e-06,0.0,38,0.0,2.9674174584215507e-05,8.210246960516088e-06,1.505480850028107e-05,6.40911912341835e-06,0.0,44,0.0,4.572456600726582e-05,1.4136522622720804e-05,2.5632576580392197e-05,5.955465439910768e-06,0.0,36,0.0,3.1288527679862455e-05,1.0008846402342897e-05,1.4974496480135713e-05,6.305184797383845e-06,0.0,43,0.0,6.346429290715605e-05,2.2823272956884466e-05,3.3695185265969485e-05,6.9458328653126955e-06,0.0,35,0.0,4.0340946725336835e-05,6.9444431574083865e-06,2.413114816590678e-05,9.265354492526967e-06,0.0,40,0.0,3.1686937290942296e-05,9.054022484633606e-06,1.4202933016349562e-05,8.429981789959129e-06,0.0,43,0.0,2.5854875275399536e-05,5.399725978350034e-06,1.1800849279097747e-05,8.654301382193808e-06,0.0,38,0.0
14,700,3.827183900284581e-05,1.0274304258928169e-05,2.1908948838245124e-05,6.0885868151672184e-06,0.0,41,0.0,3.64945299224928e-05,1.2704752407444175e-05,1.8245860701426864e-05,5.54391499463236e-06,0.0,41,0.0,2.4242070139735006e-05,7.4957911238016095e-06,1.1730794540198985e-05,5.015485385229113e-06,0.0,38,0.0,2.808662611641921e-05,7.440612080245046e-06,1.4201787053025328e-05,6.444227437896188e-06,0.0,44,0.0,4.218102913000621e-05,1.341260394838173e-05,2.2806400011177175e-05,5.962026079942007e-06,0.0,36,0.0,3.0431865525315516e-05,9.806269190448802e-06,1.4279542483564e-05,6.346054306050064e-06,0.0,43,0.0,5.6429922551615164e-05,2.0096047592232935e-05,2.9344901122385636e-05,6.988976565480698e-06,0.0,35,0.0,3.7771860661450773e-05,5.977091404929524e-06,2.24566047108965e-05,9.338164090877399e-06,0.0,40,0.0,3.0510387659887783e-05,9.042883903020993e-06,1.3032386959821451e-05,8.43511770654004e-06,0.0,42,0.0,2.418188887531869e-05,4.820463345822645e-06,1.0689707778510638e-05,8.671716386743356e-06,0.0,38,0.0
15,750,3.431706863921136e-05,9.599295481166337e-06,1.861951022874564e-05,6.098264293541433e-06,0.0,41,0.0,3.312942135380581e-05,1.1371620530553628e-05,1.6195152056752704e-05,5.562648766499478e-06,0.0,41,0.0,2.3028464056551456e-05,6.872286121506477e-06,1.112161589844618e-05,5.0345629460935015e-06,0.0,38,0.0,2.6798288672580384e-05,6.768138064217055e-06,1.3560522347688675e-05,6.469629170169355e-06,0.0,44,0.0,3.9849266613600776e-05,1.2684358807746321e-05,2.1206908058957197e-05,5.958002475381363e-06,0.0,35,0.0,2.9285438358783722e-05,9.098722330236342e-06,1.3791912351734936e-05,6.394803222065093e-06,0.0,42,0.0,5.1000810344703496e-05,1.7935639334609732e-05,2.605062945804093e-05,7.014537914074026e-06,0.0,35,0.0,3.655672480817884e-05,6.539955847983947e-06,2.0624467651941814e-05,9.392302672495134e-06,0.0,39,0.0,2.8640919481404126e-05,8.276438165921718e-06,1.1937666386074852e-05,8.426814019912854e-06,0.0,42,0.0,2.284199945279397e-05,4.484968940232648e-06,9.685273653303739e-06,8.671757314004935e-06,0.0,38,0.0
16,800,3.0636769224656746e-05,8.393524694838561e-06,1.6146366760949604e-05,6.096876859373879e-06,0.0,41,0.0,3.1093961297301576e-05,1.0612441656121518e-05,1.4903773262631148e-05,5.577746378548909e-06,0.0,41,0.0,2.2739310225006193e-05,6.793721240683226e-06,1.0894138540606946e-05,5.0514495342213195e-06,0.0,38,0.0,2.6456951673026197e-05,7.002064648986561e-06,1.2968234841537196e-05,6.486652182502439e-06,0.0,44,0.0,3.845602259389125e-05,1.2817704373446759e-05,1.9693678041221574e-05,5.9446397244755644e-06,0.0,35,0.0,2.7528447390068322e-05,8.139908459270373e-06,1.2967206203029491e-05,6.4213322730211075e-06,0.0,42,0.0,4.7594130592187867e-05,1.6869289538590237e-05,2.3707569198450074e-05,7.0172718551475555e-06,0.0,35,0.0,3.5564895370043814e-05,6.827552169852424e-06,1.9324676031828858e-05,9.412664439878426e-06,0.0,39,0.0,2.675894029380288e-05,7.173192898335401e-06,1.1169496247021016e-05,8.416251148446463e-06,0.0,42,0.0,2.104553277604282e-05,3.5638390727399383e-06,8.824058568279725e-06,8.657635589770507e-06,0.0,38,0.0
17,850,3.0281316867331043e-05,9.372251042805146e-06,1.479900129197631e-05,6.110065896791639e-06,0.0,40,0.0,2.9007485863985494e-05,9.725014024297707e-06,1.3694370863959193e-05,5.588101430475945e-06,0.0,41,0.0,2.097847027471289e-05,5.715442512155278e-06,1.0196729817835148e-05,5.066299308964517e-06,0.0,38,0.0,2.593838689790573e-05,6.98651001584949e-06,1.2455246178433299e-05,6.496632067864994e-06,0.0,44,0.0,3.504013875499368e-05,1.0599517736409325e-05,1.851861998147797e-05,5.921999672864331e-06,0.0,35,0.0,2.6631476430338807e-05,7.624195859534666e-06,1.2564102689793799e-05,6.443179245252395e-06,0.0,42,0.0,5.2008297643624246e-05,2.2821182938059792e-05,2.218567897216417e-05,7.0014348239055835e-06,0.0,35,0.0,3.326981095597148e-05,5.241390226728981e-06,1.8625802113092504e-05,9.402619070897344e-06,0.0,39,0.0,2.4953853426268324e-05,6.253804258449236e-06,1.029631766868988e-05,8.403730134887155e-06,0.0,42,0.0,2.0842606318183243e-05,3.921298684872454e-06,8.269469617516734e-06,8.651838470541406e-06,0.0,37,0.0
18,900,2.7045396564062685e-05,7.4310373747721314e-06,1.3527769624488428e-05,6.086589564802125e-06,0.0,40,0.0,2.819017208821606e-05,9.785510883375537e-06,1.2813698958780151e-05,5.590962246060371e-06,0.0,41,0.0,2.0343446522019804e-05,5.47046511201188e-06,9.79398191702785e-06,5.079000857222127e-06,0.0,38,0.0,2.4870776542229578e-05,6.491263320640428e-06,1.1870333764818497e-05,6.509179911518004e-06,0.0,43,0.0,3.4824963222490624e-05,1.1777606232499238e-05,1.7141061107395217e-05,5.906294518354116e-06,0.0,35,0.0,2.5839222871582024e-05,7.229883522086311e-06,1.2150958355050534e-05,6.4583819039398804e-06,0.0,42,0.0,4.4187865569256246e-05,1.7056872820830904e-05,2.0151239368715324e-05,6.979755198699422e-06,0.0,35,0.0,3.269901208113879e-05,5.145999693922931e-06,1.8160013496526517e-05,9.393000254931394e-06,0.0,39,0.0,2.4570137611590326e-05,6.5265844568784814e-06,9.654172572481912e-06,8.389380127482582e-06,0.0,41,0.0,1.9980110664619133e-05,3.734954589162953e-06,7.63141088100383e-06,8.613745194452349e-06,0.0,37,0.0
19,950,2.5826249839155935e-05,7.05119828126044e-06,1.2722874998871703e-05,6.05217564952909e-06,0.0,40,0.0,2.7444066290627234e-05,9.458452950639185e-06,1.2349696589808445e-05,5.635916295432253e-06,0.0,40,0.0,1.9831009922199883e-05,5.2452387535595335e-06,9.496276106801815e-06,5.089494607091183e-06,0.0,38,0.0,2.426980972813908e-05,6.367190053424565e-06,1.1395005458325613e-05,6.507614216388902e-06,0.0,42,0.0,3.222663508495316e-05,1.0256572750222404e-05,1.608179991308134e-05,5.888263331144117e-06,0.0,35,0.0,2.5291186830145307e-05,7.169518994487589e-06,1.167471145890886e-05,6.446956376748858e-06,0.0,41,0.0,3.93476766475942e-05,1.3807230061502196e-05,1.85768094524974e-05,6.963637133594602e-06,0.0,34,0.0,3.1849682272877544e-05,5.447223429655423e-06,1.703376619843766e-05,9.368692190037109e-06,0.0,39,0.0,2.3468233848689124e-05,6.096609922678908e-06,9.0070298028877e-06,8.364593668375164e-06,0.0,41,0.0,1.932619488798082e-05,3.569882892406895e-06,7.197808827186236e-06,8.558503395761363e-06,0.0,37,0.0
20,1000,2.546895484556444e-05,7.482457931473618e-06,1.2010895261482801e-05,5.975602562102722e-06,0.0,39,0.0,2.5173358153551817e-05,8.003581569937523e-06,1.1535399607964791e-05,5.634377885144204e-06,0.0,40,0.0,1.9435788999544457e-05,5.191092441236833e-06,9.146775482804514e-06,5.097920620755758e-06,0.0,38,0.0,2.3194825189420953e-05,5.735771537729306e-06,1.0953238415822852e-05,6.505815235868795e-06,0.0,42,0.0,3.068375735892914e-05,9.414808118890505e-06,1.5393883586511947e-05,5.875065198779339e-06,0.0,35,0.0,2.4560980818932876e-05,6.6514862737676594e-06,1.1449169505794998e-05,6.460325039370218e-06,0.0,41,0.0,3.9379843656206504e-05,1.4350764104165137e-05,1.809526111173909e-05,6.933817530807573e-06,0.0,34,0.0,3.0360286473296583e-05,4.6807172111584805e-06,1.6347588825738057e-05,9.331979526905343e-06,0.0,39,0.0,2.2793723474023864e-05,6.074762040952919e-06,8.38108917378122e-06,8.337871804542374e-06,0.0,41,0.0,1.829940447350964e-05,3.0297899229481118e-06,6.769035735487705e-06,8.500579497194849e-06,0.0,37,0.0
