,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,epoch_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.32720303535461426,0.0009434890234842896,9.990561920858454e-06,0.0,60.0,1.0,0.3673320412635803,0.0014868085272610188,9.99046733340947e-06,0.0,60.0,1.0,0.3197195529937744,0.0013478058390319347,9.990566468331963e-06,0.0,60.0,0.338084876537323,0.0012593677965924144,9.990531907533295e-06,0.0,60.0
1,51.0,0.08940992504358292,0.0009445893228985369,9.551478797220625e-06,0.0,60.0,51.0,0.0944882407784462,0.0015132346889004111,9.457851774641313e-06,0.0,60.0,51.0,0.09072745591402054,0.0013498582411557436,9.513559234619606e-06,0.0,60.0,0.09154187391201654,0.0012692274176515639,9.507629935493847e-06,0.0,60.0
2,101.0,0.08119488507509232,0.0009490879019722342,9.195080565405078e-06,0.0,60.0,101.0,0.08926700800657272,0.0015091722598299384,8.991586582851596e-06,0.0,60.0,101.0,0.06579338759183884,0.0014988946495577693,9.144255272985902e-06,0.0,60.0,0.07875176022450128,0.0013190516037866473,9.110307473747525e-06,0.0,60.0
3,131.0,0.045796461403369904,0.0010373048717156053,9.128566489380319e-06,0.0,60.0,131.0,0.05158830061554909,0.0017290088580921292,8.735548362892587e-06,0.0,60.0,131.0,0.04114937037229538,0.001497219200246036,9.11094593902817e-06,0.0,60.0,0.046178044130404786,0.0014211776433512568,8.99168693043369e-06,0.0,60.0
4,161.0,0.03689861670136452,0.0009919838048517704,9.105025128519628e-06,0.0,60.0,161.0,0.035082317888736725,0.0017169782659038901,8.591370715294033e-06,0.0,60.0,161.0,0.0357741042971611,0.001378611079417169,9.087131729756948e-06,0.0,60.0,0.03591834629575411,0.001362524383390943,8.927842524523536e-06,0.0,60.0
5,191.0,0.033023521304130554,0.0009528815862722695,9.098501323023811e-06,0.0,60.0,191.0,0.03160116448998451,0.0015122337499633431,8.544937372789718e-06,0.0,60.0,191.0,0.03375574201345444,0.0013525610556825995,9.070955456991214e-06,0.0,60.0,0.0327934759358565,0.0012725587973060706,8.904798050934914e-06,0.0,60.0
6,221.0,0.032269105315208435,0.000949400186073035,9.092062100535259e-06,0.0,60.0,221.0,0.030606543645262718,0.0014937891392037272,8.515215085935779e-06,0.0,60.0,221.0,0.03213636204600334,0.0013421690091490746,9.066137863555923e-06,0.0,60.0,0.031670670335491494,0.0012617861114752789,8.891138350008987e-06,0.0,60.0
7,251.0,0.03251885622739792,0.0009458347922191024,9.055695045390166e-06,0.0,60.0,251.0,0.030695846304297447,0.0014867751160636544,8.478319614368957e-06,0.0,60.0,251.0,0.02875281684100628,0.0013336119009181857,9.045471415447537e-06,0.0,60.0,0.030655839790900547,0.0012554072697336474,8.859828691735553e-06,0.0,60.0
8,281.0,0.031973760575056076,0.0009398192050866783,9.008555025502574e-06,0.0,60.0,281.0,0.031085656955838203,0.001477645942941308,8.449567758361809e-06,0.0,60.0,281.0,0.021242382004857063,0.0013241353444755077,9.027085980051197e-06,0.0,60.0,0.028100599845250446,0.0012472001641678312,8.828402921305193e-06,0.0,60.0
9,311.0,0.03060540184378624,0.0009328506421297789,8.93420565262204e-06,0.0,60.0,311.0,0.030185667797923088,0.001473555457778275,8.436395546596032e-06,0.0,60.0,311.0,0.018243754282593727,0.0013170038582757115,9.027433407027274e-06,0.0,60.0,0.026344941308101017,0.0012411366527279217,8.799344868748449e-06,0.0,60.0
10,341.0,0.029477782547473907,0.0009215919417329133,8.875113053363748e-06,0.0,60.0,341.0,0.03007117658853531,0.0014666425995528698,8.411672752117738e-06,0.0,60.0,341.0,0.015600577928125858,0.001305298530496657,9.008551387523767e-06,0.0,60.0,0.025049845688045025,0.0012311776905941465,8.765112397668418e-06,0.0,60.0
11,371.0,0.02688078209757805,0.0009090563398785889,8.834347681840882e-06,0.0,60.0,371.0,0.029085364192724228,0.0014598993584513664,8.396260454901494e-06,0.0,60.0,371.0,0.01575622335076332,0.001292639528401196,8.979070116765797e-06,0.0,60.0,0.023907456547021866,0.001220531742243717,8.736559417836057e-06,0.0,60.0
12,401.0,0.023861322551965714,0.000891917385160923,8.780099960858934e-06,0.0,60.0,401.0,0.02838040143251419,0.00145057518966496,8.396918019570876e-06,0.0,60.0,401.0,0.014097764156758785,0.001279311254620552,8.960735613072757e-06,0.0,60.0,0.022113162713746227,0.0012072679431488116,8.712584531167522e-06,0.0,60.0
13,431.0,0.01883476786315441,0.0008787489496171474,8.731341040402185e-06,0.0,60.0,431.0,0.02664150670170784,0.0014415555633604527,8.39728454593569e-06,0.0,60.0,431.0,0.014517182484269142,0.0012720831437036395,8.945354238676373e-06,0.0,60.0,0.01999781901637713,0.0011974625522270799,8.691326608338082e-06,0.0,60.0
14,461.0,0.015709485858678818,0.0008655688143335283,8.692009032529313e-06,0.0,60.0,461.0,0.024339335039258003,0.0014332686550915241,8.376433470402844e-06,0.0,60.0,461.0,0.013786421157419682,0.0012593365972861648,8.932200216804631e-06,0.0,60.0,0.017945080685118832,0.0011860580222370722,8.666880906578928e-06,0.0,60.0
