,epoch,total_0,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,total_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,total_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,total_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,total_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,total_5,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
10,500,0.0014923576964065433,0.0006703230901621282,0.000816721236333251,5.313260317052482e-06,0.0,24,0.0009402921423316002,0.00041303224861621857,0.0005213083350099623,5.951570074103074e-06,0.0,19,0.0010869981488212943,0.0004036894242744893,0.0006763751734979451,6.933628355909605e-06,0.0,22,0.0020888415165245533,0.0013096530456095934,0.000773039588239044,6.1487785387726035e-06,0.0,24,0.0010986881097778678,0.0005402581300586462,0.0005524067091755569,6.023173227731604e-06,0.0,25,0.0011691154213622212,0.0006490898667834699,0.000512179743964225,7.845801519579254e-06,0.0,25,0.0006643409675840909,0.000642005131036664,6.3693686721914365e-06,0.0,23.166666666666664
11,550,0.0013211206533014774,0.0005828161956742406,0.000732524786144495,5.779711500508711e-06,0.0,24,0.0008328021503984928,0.00031755457166582346,0.0005091127241030335,6.134871000540443e-06,0.0,19,0.0009787514572963119,0.00032704949262551963,0.0006445404724217951,7.1615354499954265e-06,0.0,22,0.0019238210516050458,0.0011671409010887146,0.0007503919187001884,6.288142685662024e-06,0.0,22,0.0010112327290698886,0.00048456323565915227,0.0005204000626690686,6.269380264711799e-06,0.0,23,0.0011251627001911402,0.0006244021933525801,0.0004926527035422623,8.107869689411018e-06,0.0,25,0.0005839210983443384,0.0006082704445968071,6.62358509847157e-06,0.0,22.5
12,600,0.0011713706189766526,0.0005238493904471397,0.0006412582006305456,6.262992883421248e-06,0.0,21,0.0007555431802757084,0.0002531346690375358,0.0004960559890605509,6.35247988611809e-06,0.0,18,0.00090225093299523,0.00028109262348152697,0.0006138094468042254,7.348893632297404e-06,0.0,22,0.0018132226541638374,0.0011091920314356685,0.0006975505384616554,6.480141109932447e-06,0.0,21,0.0009285837295465171,0.0004415284493006766,0.00048059996333904564,6.455310995079344e-06,0.0,23,0.0010687615722417831,0.0005875287461094558,0.00047292435192503035,8.308426004077774e-06,0.0,24,0.0005327209849686672,0.0005670330817035089,6.8680407518210505e-06,0.0,21.5
13,650,0.0010539862560108304,0.00045829074224457145,0.0005891186883673072,6.576844498340506e-06,0.0,21,0.0007118029170669615,0.00021963131439406425,0.00048558576963841915,6.585839855688391e-06,0.0,18,0.0008356848265975714,0.00024440704146400094,0.0005837613716721535,7.516425284848083e-06,0.0,21,0.0017206976190209389,0.0010590762831270695,0.000654939969535917,6.681357263005339e-06,0.0,21,0.0008783780504018068,0.00042988904169760644,0.0004418272874318063,6.661741736024851e-06,0.0,21,0.001070270431227982,0.0006030165823176503,0.00045874237548559904,8.511492524121422e-06,0.0,24,0.0005023851675408271,0.000535662577021867,7.0889501936714314e-06,0.0,21.0
14,700,0.0009325032006017864,0.00038288277573883533,0.0005427831201814115,6.837284217908746e-06,0.0,20,0.0006740071694366634,0.00019039142352994531,0.0004767964710481465,6.819258942414308e-06,0.0,18,0.000798018416389823,0.00023008896096143872,0.0005602140445262194,7.715421816101298e-06,0.0,19,0.0016106144757941365,0.000986536149866879,0.0006171723362058401,6.906032922415761e-06,0.0,21,0.000842943845782429,0.0004188320890534669,0.0004172249755356461,6.886782102810685e-06,0.0,20,0.0010072781005874276,0.0005547946784645319,0.000443757715402171,8.725625775696244e-06,0.0,23,0.0004605876796025162,0.0005096581104832391,7.31506762955784e-06,0.0,20.166666666666664
15,750,0.0008455087663605809,0.000338577083311975,0.0004998427466489375,7.088934125931701e-06,0.0,20,0.0006524937343783677,0.0001758957514539361,0.0004695276147685945,7.070357241900638e-06,0.0,18,0.0007318888092413545,0.00021680293139070272,0.0005071688210591674,7.917037692095619e-06,0.0,19,0.0015220987843349576,0.0009316207724623382,0.0005833248142153025,7.153106707846746e-06,0.0,21,0.0007984443800523877,0.0003939449670724571,0.00039735864265821874,7.140825800888706e-06,0.0,19,0.000982434838078916,0.0005426576244644821,0.00043084443314000964,8.932798664318398e-06,0.0,23,0.00043324985502598185,0.00048134451208170503,7.550510038830301e-06,0.0,20.0
16,800,0.0007999905501492321,0.00032598720281384885,0.00046667607966810465,7.3272112786071375e-06,0.0,19,0.0006238854257389903,0.00015298092330340296,0.0004635915975086391,7.312940851988969e-06,0.0,16,0.0006688254070468247,0.0002093718503601849,0.0004513502062764019,8.10336678114254e-06,0.0,19,0.0014418417122215033,0.0008843816467560828,0.0005500455154106021,7.414450465148548e-06,0.0,21,0.0007609958993270993,0.0003723334812093526,0.0003812843933701515,7.378027476079296e-06,0.0,18,0.0009594119037501514,0.0005331172724254429,0.0004171827749814838,9.111876352108084e-06,0.0,23,0.00041302872947805247,0.0004550217612025638,7.774645534179095e-06,0.0,19.333333333333332
17,850,0.0007799160666763783,0.0003266242565587163,0.00044572982005774975,7.5620073403115384e-06,0.0,19,0.0005991578800603747,0.0001345541386399418,0.0004570471646729857,7.556562195532024e-06,0.0,16,0.000605581677518785,0.00019218445231672376,0.0004051165597047657,8.280704605567735e-06,0.0,18,0.0013708757469430566,0.0008539767004549503,0.0005092159262858331,7.683057447138708e-06,0.0,20,0.0007281550206243992,0.00035095695056952536,0.00036959623685106635,7.601829111081315e-06,0.0,18,0.0009182969806715846,0.000506735173985362,0.0004022919456474483,9.269833753933199e-06,0.0,23,0.0003941719454208699,0.0004314996088699748,7.99233240892742e-06,0.0,19.0
18,900,0.000823882466647774,0.0003900406009051949,0.00042606022907420993,7.781583917676471e-06,0.0,19,0.0005918345414102077,0.00013305513130035251,0.00045098509872332215,7.794305929564871e-06,0.0,16,0.0005661744507960975,0.00018280226504430175,0.0003749362949747592,8.435843483312055e-06,0.0,18,0.0012971940450370312,0.0008234107517637312,0.00046588495024479926,7.898368494352326e-06,0.0,19,0.0007027396932244301,0.0003353232459630817,0.00035960107925347984,7.815381650289055e-06,0.0,18,0.0009080207091756165,0.0005115767125971615,0.0003870365035254508,9.407440302311443e-06,0.0,22,0.00039603478459563724,0.00041075069263267017,8.18882062958437e-06,0.0,18.666666666666664
19,950,0.0007907151011750102,0.0003713247715495527,0.0004114012117497623,7.989125151652843e-06,0.0,19,0.0005724233342334628,0.00011838748469017446,0.0004460070049390197,8.02879367256537e-06,0.0,16,0.0005368971615098417,0.00017490785103291273,0.00035341919283382595,8.570086720283143e-06,0.0,18,0.0012644086964428425,0.0008426086278632283,0.000413717410992831,8.082696695055347e-06,0.0,18,0.0006859367713332176,0.00032574933720752597,0.0003521484904922545,8.038919077080209e-06,0.0,18,0.0008674385026097298,0.00048687579692341387,0.0003710336168296635,9.529069757263642e-06,0.0,22,0.000386642311544468,0.00039128782130622614,8.373115178983426e-06,0.0,18.5
