,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
16,801,0.0002272744313813746,0.0003108382225036621,6.706634394504363e-06,0.0,18,0.00021951730013825,0.0003693108446896076,7.861905032768846e-06,0.0,17,0.00037767065805383027,0.0005194429541006684,8.286445336125325e-06,0.0,22,0.0003442523011472076,0.0004722164012491703,6.235919045138871e-06,0.0,13,0.0002921786726801656,0.0004179521056357771,7.272725952134351e-06,0.0,17.5
17,851,0.00023009302094578743,0.00029691681265830994,6.826751814514864e-06,0.0,18,0.00019575055921450257,0.00035550203756429255,8.022362635529134e-06,0.0,17,0.0003623613156378269,0.0005126355099491775,8.521838935848791e-06,0.0,20,0.000346585875377059,0.00042855014908127487,6.323274647002108e-06,0.0,13,0.000283697692793794,0.0003984011273132637,7.4235570082237246e-06,0.0,17.0
18,901,0.0002466676523908973,0.000285057962173596,6.924123681528727e-06,0.0,18,0.00017712799308355898,0.00034035040880553424,8.177886229532305e-06,0.0,17,0.0003537383454386145,0.0004819036403205246,8.754631380725186e-06,0.0,20,0.00039225342334248126,0.00040748255560174584,6.4323353399231564e-06,0.0,13,0.000292446853563888,0.00037869864172535017,7.572244157927344e-06,0.0,17.0
19,951,0.0002138808195013553,0.00027305263211019337,7.041134722385323e-06,0.0,16,0.00016515639435965568,0.00032629893394187093,8.316224921145476e-06,0.0,17,0.0003553577116690576,0.0004501570947468281,8.978854566521477e-06,0.0,20,0.0004103663959540427,0.0003836987307295203,6.532610314025078e-06,0.0,13,0.0002861903303710278,0.0003583018478821032,7.717206131019338e-06,0.0,16.5
20,1001,0.0002046593144768849,0.0002701185876503587,7.15046189725399e-06,0.0,16,0.00015671583241783082,0.0003133052377961576,8.450078894384205e-06,0.0,16,0.00034815349499695003,0.0004257589753251523,9.192123798129614e-06,0.0,20,0.0004293060628697276,0.00036451328196562827,6.627018137805862e-06,0.0,13,0.00028470867619034834,0.0003434240206843242,7.854920681893418e-06,0.0,16.25
21,1051,0.00020016533380839974,0.0002631261886563152,7.231799827422947e-06,0.0,16,0.00015635545423720032,0.0003003181191161275,8.593432539782953e-06,0.0,16,0.0003527236985974014,0.0004061854269821197,9.394571861776058e-06,0.0,20,0.00046367364120669663,0.00034680849057622254,6.710474735882599e-06,0.0,13,0.0002932295319624245,0.00032910955633269623,7.982569741216139e-06,0.0,16.25
22,1101,0.0002079044934362173,0.00025039204047061503,7.298031960090157e-06,0.0,15,0.00014954316429793835,0.0002881243999581784,8.746924322622363e-06,0.0,16,0.000354937685187906,0.0003895253757946193,9.58101918513421e-06,0.0,20,0.00048815927584655583,0.0003308710583951324,6.786350240872707e-06,0.0,13,0.0003001361546921544,0.0003147282186546363,8.103081427179859e-06,0.0,16.0
23,1151,0.00019455549772828817,0.0002492806816007942,7.365793862845749e-06,0.0,15,0.00013719055277761072,0.0002807251294143498,8.91542458703043e-06,0.0,16,0.0003663782263174653,0.00038045583642087877,9.749197488417849e-06,0.0,20,0.000512524857185781,0.00031613121973350644,6.856052550574532e-06,0.0,13,0.0003026622835022863,0.0003066482167923823,8.22161712221714e-06,0.0,16.0
24,1201,0.00019356617121957242,0.00024452205980196595,7.411962087644497e-06,0.0,15,0.0001269289496121928,0.000272100034635514,9.07932553673163e-06,0.0,16,0.00037631660234183073,0.0003691735619213432,9.903702448355034e-06,0.0,20,0.0005294732400216162,0.0003038563299924135,6.921258318470791e-06,0.0,13,0.00030657124079880305,0.0002974129965878092,8.329062097800488e-06,0.0,16.0
25,1251,0.00019786495249718428,0.00023843230155762285,7.451605597452726e-06,0.0,15,0.00012376674567349255,0.0002649048110470176,9.240103281626943e-06,0.0,16,0.0003579301992431283,0.0003604334488045424,1.0037997526524123e-05,0.0,20,0.0005525706801563501,0.00029557253583334386,6.98109306540573e-06,0.0,12,0.0003080331443925388,0.0002898357743106317,8.42769986775238e-06,0.0,15.75
