,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,0.0,0.35562238097190857,0.001224145176820457,9.999999747378752e-06,0.0,60,0.35250023007392883,0.0011560379061847925,9.999999747378752e-06,0.0,60,0.3897489309310913,0.0012872862862423062,9.999999747378752e-06,0.0,60,0.4288136959075928,0.0020125892478972673,9.999999747378752e-06,0.0,60,0.392026424407959,0.000918277888558805,9.999999747378752e-06,0.0,60,0.32396137714385986,0.0013631153851747513,9.999999747378752e-06,0.0,60,0.3737788399060567,0.0013269086484797299,9.999999747378752e-06,0.0,60.0
1,50.0,0.07838679105043411,0.001353696221485734,9.113333362620324e-06,0.0,60,0.09300830215215683,0.001168951508589089,8.960811101133004e-06,0.0,60,0.08132065832614899,0.0013247845927253366,9.153606697509531e-06,0.0,60,0.09958906471729279,0.0020192572847008705,9.143809620582033e-06,0.0,60,0.08282135426998138,0.0009246037225238979,9.241056432074402e-06,0.0,60,0.07358845323324203,0.0013669537147507071,9.315447641711216e-06,0.0,60,0.08478577062487602,0.001359707840795939,9.154677475938417e-06,0.0,60.0
2,100.0,0.03815092891454697,0.001430118572898209,8.500189323967788e-06,0.0,60,0.044205326586961746,0.00115537631791085,8.45590875542257e-06,0.0,60,0.044321972876787186,0.0012861195718869567,8.875246749084909e-06,0.0,60,0.05056077614426613,0.00201269774697721,8.787080332695041e-06,0.0,60,0.04033898562192917,0.0009291235473938286,8.957770660344977e-06,0.0,60,0.039306968450546265,0.0013613670598715544,8.928836905397475e-06,0.0,60,0.04281415976583958,0.0013624671361564347,8.750838787818793e-06,0.0,60.0
3,150.0,0.03436484932899475,0.0012929518707096577,8.504749530402478e-06,0.0,60,0.03449416905641556,0.0011462470283731818,8.315651029988658e-06,0.0,60,0.039954278618097305,0.0012698604259639978,8.767572580836713e-06,0.0,60,0.04342803359031677,0.002005944261327386,8.70812527864473e-06,0.0,60,0.03431638702750206,0.0009165511000901461,8.870722012943588e-06,0.0,60,0.034499768167734146,0.0013479730114340782,8.615581464255229e-06,0.0,60,0.036842914298176765,0.0013299212829830744,8.630400316178566e-06,0.0,60.0
4,200.0,0.032231852412223816,0.0012626160169020295,8.547230208932888e-06,0.0,60,0.023436378687620163,0.0010653766803443432,8.339196938322857e-06,0.0,60,0.0374787412583828,0.0012230915017426014,8.629327567177825e-06,0.0,60,0.03972563520073891,0.0019700773991644382,8.639387488074135e-06,0.0,60,0.03004198521375656,0.0008925847942009568,8.73635508469306e-06,0.0,60,0.02895265817642212,0.0012549391249194741,8.365588655578904e-06,0.0,60,0.03197787515819073,0.0012781142528789737,8.542847657129943e-06,0.0,60.0
5,250.0,0.02108633704483509,0.0015124811325222254,8.247601726907305e-06,0.0,60,0.013793908059597015,0.0009891630616039038,8.259338756033685e-06,0.0,60,0.02833312377333641,0.0014350918354466558,8.426488420809619e-06,0.0,60,0.02612992562353611,0.0019388915970921516,8.493581844959408e-06,0.0,60,0.016720639541745186,0.0008679860620759428,8.528340913471766e-06,0.0,60,0.01494898833334446,0.0011616992997005582,8.30334010970546e-06,0.0,60,0.020168820396065712,0.0013175521647402395,8.376448628647873e-06,0.0,60.0
6,300.0,0.013124003075063229,0.0012942744651809335,7.633386303496081e-06,0.0,60,0.01077219657599926,0.0009203317458741367,8.225851161114406e-06,0.0,59,0.017008870840072632,0.0013754910323768854,7.651532541785855e-06,0.0,57,0.01901627704501152,0.0018292672466486692,8.424685802310705e-06,0.0,59,0.012519198469817638,0.0007890542037785053,8.343654371856246e-06,0.0,58,0.011689359322190285,0.0010420699836686254,8.325940143549815e-06,0.0,54,0.01402165088802576,0.0012084147795879592,8.100841720685517e-06,0.0,57.83333333333333
7,350.0,0.010454432107508183,0.0011853252071887255,7.250386715895729e-06,0.0,60,0.009380200877785683,0.0008494207286275923,8.215737580030691e-06,0.0,56,0.013357777148485184,0.0012017861008644104,7.057257789711002e-06,0.0,55,0.01613997109234333,0.0017273767152801156,8.386799891013652e-06,0.0,58,0.01058730948716402,0.0007336059934459627,8.26117229735246e-06,0.0,57,0.010455976240336895,0.0009448404307477176,8.444045306532644e-06,0.0,52,0.011729277825603882,0.0011070591960257539,7.935899930089363e-06,0.0,56.33333333333333
8,400.0,0.009258793666958809,0.0011153743835166097,7.0214491643127985e-06,0.0,57,0.008515606634318829,0.0007919629570096731,8.257518857135437e-06,0.0,54,0.01167841162532568,0.0011030853493139148,6.6256998252356425e-06,0.0,54,0.014603289775550365,0.001625996781513095,8.393176358367782e-06,0.0,54,0.009460055269300938,0.0006727063446305692,8.217509275709745e-06,0.0,51,0.009668994694948196,0.0008912446792237461,8.517950845998712e-06,0.0,49,0.010530858611067135,0.0010333950825346012,7.838884054460019e-06,0.0,53.166666666666664
9,450.0,0.008474207483232021,0.0010702706640586257,6.9050029196660034e-06,0.0,55,0.007905693724751472,0.0007482435321435332,8.290668120025657e-06,0.0,53,0.010576518252491951,0.001039306283928454,6.2771609918854665e-06,0.0,51,0.013541814871132374,0.00152174464892596,8.41598830447765e-06,0.0,53,0.008671537041664124,0.0006273051258176565,8.225605597544927e-06,0.0,49,0.0090579679235816,0.000855104997754097,8.52766606840305e-06,0.0,48,0.009704623216142256,0.0009769958754380543,7.773682000333793e-06,0.0,51.5
10,500.0,0.007849219255149364,0.0010366609785705805,6.850077170383884e-06,0.0,54,0.007480173837393522,0.000717812858056277,8.326704119099304e-06,0.0,47,0.009552930481731892,0.0009966009529307485,6.026718438079115e-06,0.0,46,0.012682112865149975,0.0014334709849208593,8.36642811918864e-06,0.0,52,0.008066125214099884,0.000596393074374646,8.205429367080797e-06,0.0,48,0.008558479137718678,0.0008248296799138188,8.505127880198415e-06,0.0,46,0.009031506798540551,0.0009342947547944883,7.713414182338358e-06,0.0,48.83333333333333
