,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,epoch_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,epoch_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,epoch_4,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.30833378434181213,0.0010453284485265613,9.990566468331963e-06,0.0,60.0,1.0,0.31598320603370667,0.00124565907754004,9.990569196816068e-06,0.0,60.0,1.0,0.2979241907596588,0.0015713836764916778,9.990566468331963e-06,0.0,60.0,1.0,0.3208710551261902,0.001009667874313891,9.99056464934256e-06,0.0,60.0,1.0,0.334793359041214,0.0012657110346481204,9.990514627133962e-06,0.0,60.0,0.3155811190605164,0.0012275500223040581,9.990556281991304e-06,0.0,60.0
1,51.0,0.0865280032157898,0.001045361626893282,9.525291716272477e-06,0.0,60.0,51.0,0.09720773994922638,0.0012469489593058825,9.618535841582343e-06,0.0,60.0,51.0,0.09793385118246078,0.0015731139574199915,9.555819815432187e-06,0.0,60.0,51.0,0.09152393043041229,0.0010107179405167699,9.524484994472004e-06,0.0,60.0,51.0,0.09200218319892883,0.0012774509377777576,9.562589184497483e-06,0.0,60.0,0.09303914159536363,0.0012307186843827367,9.5573443104513e-06,0.0,60.0
2,101.0,0.0705738291144371,0.0010450747795403004,9.110159226111136e-06,0.0,60.0,101.0,0.08972474187612534,0.0012458685087040067,9.33118280954659e-06,0.0,60.0,101.0,0.08589344471693039,0.001573217217810452,9.235716788680293e-06,0.0,60.0,101.0,0.07679039239883423,0.0011966420570388436,8.993085430120118e-06,0.0,60.0,101.0,0.07206565886735916,0.0013229757314547896,9.320267054135911e-06,0.0,60.0,0.07900961339473725,0.0012767556589096786,9.19808226171881e-06,0.0,60.0
3,151.0,0.04234016686677933,0.001044744742102921,8.781264114077203e-06,0.0,60.0,151.0,0.05614069849252701,0.0012432317016646266,9.131480510404799e-06,0.0,60.0,151.0,0.0550171360373497,0.0015709787840023637,9.014116585603915e-06,0.0,60.0,151.0,0.04798232764005661,0.001988863805308938,8.03452348918654e-06,0.0,60.0,151.0,0.042972758412361145,0.0012963884510099888,9.160461559076793e-06,0.0,60.0,0.04889061748981476,0.0014288414968177676,8.82436925166985e-06,0.0,60.0
4,201.0,0.03269878402352333,0.0010445646476000547,7.1354043029714376e-06,0.0,60.0,201.0,0.041238024830818176,0.0012427924666553736,7.437656222464284e-06,0.0,60.0,201.0,0.04274224862456322,0.0015652691945433617,7.645442565262783e-06,0.0,60.0,201.0,0.03736458346247673,0.0013650372857227921,5.9102617342432495e-06,0.0,60.0,201.0,0.03429783508181572,0.0012785160215571523,8.185697879525833e-06,0.0,60.0,0.037668295204639435,0.001299235923215747,7.262892540893518e-06,0.0,60.0
5,251.0,0.02798604406416416,0.001049443264491856,7.024937076494098e-06,0.0,60.0,251.0,0.03473883494734764,0.0012495038099586964,7.353748515015468e-06,0.0,60.0,251.0,0.036482181400060654,0.001541038160212338,7.6112964961794205e-06,0.0,60.0,251.0,0.032745666801929474,0.0011076172813773155,5.613034772977699e-06,0.0,60.0,251.0,0.030184362083673477,0.00135546806268394,8.097224053926766e-06,0.0,60.0,0.032427417859435086,0.0012606141157448293,7.14004818291869e-06,0.0,60.0
6,261.0,0.02725861221551895,0.0010364229092374444,6.374206805048743e-06,0.0,60.0,261.0,0.03241743519902229,0.0012145034270361066,6.702607606712263e-06,0.0,60.0,261.0,0.035110101103782654,0.001501724822446704,7.138895853131544e-06,0.0,60.0,261.0,0.03407154977321625,0.0010356539860367775,3.849997483484913e-06,0.0,60.0,261.0,0.02932794764637947,0.0013266856549307704,7.188742529251613e-06,0.0,60.0,0.03163712918758393,0.0012229981599375607,6.250890055525816e-06,0.0,60.0
7,311.0,0.023825831711292267,0.0010533658787608147,6.333241799438838e-06,0.0,60.0,311.0,0.015545127913355827,0.001152724027633667,6.689455858577276e-06,0.0,60.0,311.0,0.022558538243174553,0.0014538280665874481,7.128604011086281e-06,0.0,60.0,311.0,0.03153508901596069,0.0010279028210788965,3.4622307794052176e-06,0.0,60.0,311.0,0.024446723982691765,0.0015018564881756902,6.911650871188613e-06,0.0,60.0,0.023582262173295024,0.0012379354564473035,6.105036663939246e-06,0.0,60.0
8,321.0,0.023151857778429985,0.001012447290122509,5.804227384942351e-06,0.0,57.0,321.0,0.013953524641692638,0.0010914754820987582,6.406168722605798e-06,0.0,56.0,321.0,0.01930988021194935,0.0014261540491133928,6.7834453147952445e-06,0.0,57.0,321.0,0.034123700112104416,0.001009022002108395,1.7280616475545685e-06,0.0,21.0,321.0,0.022689666599035263,0.001299419323913753,5.670715381711489e-06,0.0,50.0,0.02264572586864233,0.0011677036294713617,5.278523690321891e-06,0.0,48.2
9,371.0,0.018468284979462624,0.0009889054344967008,5.762631644756766e-06,0.0,57.0,371.0,0.011865529231727123,0.001081131282262504,6.409932666429086e-06,0.0,56.0,371.0,0.015206870622932911,0.0014083290006965399,6.788438895455329e-06,0.0,57.0,371.0,0.029081517830491066,0.0010021886555477977,1.7454851786169456e-06,0.0,21.0,371.0,0.01433425210416317,0.0012628678232431412,5.547974069486372e-06,0.0,50.0,0.017791290953755378,0.0011486844392493368,5.2508924909489e-06,0.0,48.2
