,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,epoch_1,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,epoch_2,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,epoch_3,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.36009305715560913,0.001109611359424889,9.990548278437927e-06,0.0,60.0,1.0,0.32502034306526184,0.0010712251532822847,9.990443686547223e-06,0.0,60.0,1.0,0.31128013134002686,0.0011837993515655398,9.990499165724032e-06,0.0,60.0,1.0,0.3664664328098297,0.0012546139769256115,9.990574653784279e-06,0.0,60.0,0.3407149910926819,0.0011548124602995813,9.990516446123365e-06,0.0,60.0
1,51.0,0.09139937162399292,0.0011111503699794412,9.51597212406341e-06,0.0,60.0,51.0,0.09118305891752243,0.0010709036141633987,9.546575711283367e-06,0.0,60.0,51.0,0.09361549466848373,0.0011831375304609537,9.534262972010765e-06,0.0,60.0,51.0,0.09282631427049637,0.0012574244756251574,9.547050467517693e-06,0.0,60.0,0.09225605987012386,0.0011556539975572377,9.535965318718809e-06,0.0,60.0
2,101.0,0.07696287333965302,0.0013432869454845786,8.831686500343494e-06,0.0,60.0,101.0,0.08041554689407349,0.0010787828359752893,9.189589945890475e-06,0.0,60.0,101.0,0.06870515644550323,0.001966992625966668,9.018204764288384e-06,0.0,60.0,101.0,0.06591815501451492,0.0013190642930567265,9.325880455435254e-06,0.0,60.0,0.07300043292343616,0.0014270316751208156,9.091340416489402e-06,0.0,60.0
3,151.0,0.05092720687389374,0.0016587411519140005,8.178753887477797e-06,0.0,60.0,151.0,0.048660758882761,0.0010766582563519478,8.940550287661608e-06,0.0,60.0,151.0,0.04396914690732956,0.001844350597821176,8.429493391304277e-06,0.0,60.0,151.0,0.044225871562957764,0.0012619865592569113,9.207568837155122e-06,0.0,60.0,0.046945746056735516,0.001460434141336009,8.689091600899701e-06,0.0,60.0
4,201.0,0.038262005895376205,0.0011330160778015852,7.492363238270627e-06,0.0,60.0,201.0,0.03492900729179382,0.0010697594843804836,7.2854036261560395e-06,0.0,60.0,201.0,0.03624987229704857,0.0013236372033134103,7.4954664341930766e-06,0.0,60.0,201.0,0.03558192029595375,0.001258435077033937,7.963878488226328e-06,0.0,60.0,0.03625570144504309,0.001196211960632354,7.559277946711518e-06,0.0,60.0
5,251.0,0.03134356439113617,0.0011074499925598502,7.442609330610139e-06,0.0,60.0,251.0,0.0288245789706707,0.0011384213576093316,7.060763437038986e-06,0.0,60.0,251.0,0.02745477296411991,0.0013042722130194306,7.411252681777114e-06,0.0,60.0,251.0,0.030631572008132935,0.0012645137030631304,7.86423152021598e-06,0.0,60.0,0.02956362208351493,0.0012036643165629357,7.444714242410555e-06,0.0,60.0
6,261.0,0.03209393098950386,0.0010835861321538687,6.305422175501008e-06,0.0,60.0,261.0,0.030765576288104057,0.0010867241071537137,5.953160325589124e-06,0.0,60.0,261.0,0.02311360277235508,0.0011834172764793038,6.475307145592524e-06,0.0,60.0,261.0,0.030507147312164307,0.0012596944579854608,7.230692972370889e-06,0.0,60.0,0.029120064340531826,0.0011533554934430867,6.491145654763386e-06,0.0,60.0
7,311.0,0.028385862708091736,0.001062206574715674,6.287642008828698e-06,0.0,60.0,311.0,0.026010362431406975,0.0011647316860035062,5.6292724366358016e-06,0.0,60.0,311.0,0.012985124252736568,0.001214151969179511,6.319336080196081e-06,0.0,60.0,311.0,0.027861980721354485,0.0012732987524941564,7.166523118939949e-06,0.0,60.0,0.02381083252839744,0.0011785972455982119,6.350693411150132e-06,0.0,60.0
8,321.0,0.027537444606423378,0.0010265945456922054,5.178251740289852e-06,0.0,49.0,321.0,0.026582330465316772,0.0010372448014095426,4.148372227064101e-06,0.0,48.0,321.0,0.01298603042960167,0.0011397225316613913,5.241562575974967e-06,0.0,47.0,321.0,0.027054375037550926,0.0012441124999895692,6.499683877336793e-06,0.0,60.0,0.023540045134723186,0.0011119185946881771,5.266967605166428e-06,0.0,51.0
9,371.0,0.016986465081572533,0.0009907878702506423,5.2732120821019635e-06,0.0,49.0,371.0,0.019691171124577522,0.001039345283061266,3.961778020311613e-06,0.0,48.0,371.0,0.010958799161016941,0.0011237089056521654,5.133870217832737e-06,0.0,47.0,371.0,0.02289734221994877,0.0012456702534109354,6.451366516557755e-06,0.0,60.0,0.01763344439677894,0.0010998780780937523,5.205056709201017e-06,0.0,51.0
10,381.0,0.014357803389430046,0.0009382077842019498,5.0764547268045135e-06,0.0,47.0,381.0,0.017925215885043144,0.0009853574447333813,3.3172468647535425e-06,0.0,30.0,381.0,0.013594257645308971,0.001090309931896627,4.578954758471809e-06,0.0,40.0,381.0,0.02177605591714382,0.0012180402409285307,5.95394294578e-06,0.0,56.0,0.016913333209231496,0.0010579788504401222,4.731649823952466e-06,0.0,43.25
11,431.0,0.011523461900651455,0.0009074925910681486,5.1430029088805895e-06,0.0,47.0,431.0,0.011691341176629066,0.0009763925336301327,3.357528612468741e-06,0.0,30.0,431.0,0.01008928194642067,0.0010614341590553522,4.547418939182535e-06,0.0,40.0,431.0,0.01667259819805622,0.0012027970515191555,5.942673396930331e-06,0.0,56.0,0.012494170805439353,0.0010370290838181973,4.747655964365549e-06,0.0,43.25
12,441.0,0.0133119011297822,0.0008637274731881917,4.905610694549978e-06,0.0,42.0,441.0,0.014618898741900921,0.0009601687197573483,3.25947007695504e-06,0.0,27.0,441.0,0.015068178996443748,0.001032315194606781,4.262020411260892e-06,0.0,37.0,441.0,0.015715207904577255,0.0011721896007657051,5.589510692516342e-06,0.0,52.0,0.014678546693176031,0.0010071002470795065,4.504152968820563e-06,0.0,39.5
13,491.0,0.010367020964622498,0.0008324020891450346,4.958677891409025e-06,0.0,42.0,491.0,0.01039073895663023,0.0009476632694713771,3.3357812299072975e-06,0.0,27.0,491.0,0.00977245718240738,0.0010170821333304048,4.2561132431728765e-06,0.0,37.0,491.0,0.012139595113694668,0.0011526867747306824,5.611976121144835e-06,0.0,52.0,0.010667453054338694,0.0009874585666693747,4.540637121408508e-06,0.0,39.5
14,501.0,0.015189800411462784,0.0008081477717496455,4.823708422918571e-06,0.0,36.0,501.0,0.016296261921525,0.0009534546406939626,3.341282308610971e-06,0.0,25.0,501.0,0.014036779291927814,0.0010072067379951477,4.136789812037023e-06,0.0,33.0,501.0,0.014577261172235012,0.0011479574022814631,5.281276571622584e-06,0.0,44.0,0.015025025699287653,0.0009791916381800547,4.395764278797287e-06,0.0,34.5
15,551.0,0.00981668196618557,0.0007851113332435489,4.9128298087453e-06,0.0,36.0,551.0,0.009878384880721569,0.0009336828952655196,3.420538178033894e-06,0.0,25.0,551.0,0.009572208859026432,0.0009897894924506545,4.183062173979124e-06,0.0,33.0,551.0,0.01129953097552061,0.0011282352497801185,5.338333266990958e-06,0.0,44.0,0.010141701670363545,0.0009592047426849604,4.463690856937319e-06,0.0,34.5
