,0,1,2
0,-2.3469388,2.4027154,-1.2200587
1,-1.1669836,6.8536105,2.0177193
2,-0.731925,-0.41172087,-0.37628183
3,-0.7806643,-0.3748629,-0.39646393
4,-2.5507374,-2.209645,-1.8137153
5,-0.9165659,-0.5246631,3.2950625
6,-2.23002,-1.3223603,3.1530213
7,3.4849622,0.090812825,1.4165066
8,-2.182416,-0.6851188,1.6419723
9,-0.72625613,-0.18529579,-0.08993344
10,-0.39174932,0.06554916,0.07514304
11,-0.6370902,-0.08822285,-0.24549542
12,-0.49703354,0.30786496,-0.2114223
13,-0.4429397,1.3090321,-0.19324839
14,-0.20596698,-0.043936595,-0.065805525
15,-0.17279431,0.44144428,0.042367116
16,-0.06923932,0.032269944,0.23854357
17,0.06866795,1.5851635,0.10515088
18,0.011234114,-2.6172981,0.026296994
19,0.17913894,0.1430183,0.13548587
