,0,1,2
0,-0.6351763,0.8647086,-0.7769809
1,-0.5748608,7.4640684,-1.4326414
2,-1.1284541,-1.6512709,-1.0264794
3,-0.3498269,-1.0785465,0.6170549
4,3.757673,-0.20166686,0.9504312
5,-0.43470868,3.5299232,-0.7106464
6,-0.38320464,3.718874,-3.0508523
7,-0.9787183,-1.7245334,-0.94788826
8,7.3172636,-1.1836936,-0.48246083
9,3.011028,-0.6512173,-0.683743
10,-0.24638826,0.59271485,-0.031432617
11,-0.5519404,-0.9785365,0.52657
12,1.1872351,-0.40897596,-0.34765455
13,-0.8733966,-1.5295508,-0.5800155
14,-0.63321126,-1.4991372,1.9275626
15,-0.107157156,-0.537502,-0.3560254
16,-1.0859191,-1.510417,-0.730152
17,0.24299324,-1.1782302,-0.782032
18,-0.21953273,-0.58164835,-0.17829716
19,-0.23611425,-0.26348564,-0.17758243
