,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,decoder_avg,sindy_x_avg,reg_avg,sindy_z_avg,active_coeffs_avg
0,1.0,0.6277964115142822,0.002607322297990322,1.996227183553856e-05,0.0,60,0.6178542971611023,0.002247782424092293,1.996195533138234e-05,0.0,60,0.6228253543376923,0.0024275523610413074,1.996211358346045e-05,0.0,60.0
1,51.0,0.1778748333454132,0.002645506989210844,1.8105722119798884e-05,0.0,60,0.16561618447303772,0.002293564146384597,1.8082580936606973e-05,0.0,60,0.17174550890922546,0.0024695355677977204,1.809415152820293e-05,0.0,60.0
2,101.0,0.08477670699357986,0.0037040819879621267,1.5046104635985103e-05,0.0,60,0.07463771849870682,0.0022447239607572556,1.7501421098131686e-05,0.0,60,0.07970721274614334,0.002974402974359691,1.6273762867058394e-05,0.0,60.0
3,151.0,0.07321499288082123,0.0032205553725361824,1.3424747521639802e-05,0.0,60,0.06430704891681671,0.002238364890217781,1.7191734514199197e-05,0.0,60,0.06876102089881897,0.0027294601313769817,1.53082410179195e-05,0.0,60.0
4,201.0,0.06400054693222046,0.002991751302033663,1.2441414583008736e-05,0.0,60,0.06002521514892578,0.0022145528346300125,1.6963587768259458e-05,0.0,60,0.06201288104057312,0.0026031520683318377,1.4702501175634097e-05,0.0,60.0
5,251.0,0.03446876257658005,0.0028432258404791355,1.1327260835969355e-05,0.0,60,0.039252858608961105,0.002307686023414135,1.6429481547675095e-05,0.0,60,0.036860810592770576,0.0025754559319466352,1.3878371191822225e-05,0.0,60.0
6,301.0,0.025235174223780632,0.0025889212265610695,1.059326132235583e-05,0.0,60,0.026640361174941063,0.0019057132303714752,1.5979578165570274e-05,0.0,60,0.025937767699360847,0.0022473172284662724,1.3286419743963052e-05,0.0,60.0
7,351.0,0.0214700885117054,0.0024737876374274492,1.0089108400279656e-05,0.0,58,0.02161804959177971,0.0017733103595674038,1.578238698130008e-05,0.0,60,0.021544069051742554,0.0021235489984974265,1.2935747690789867e-05,0.0,59.0
8,401.0,0.019406061619520187,0.0024254275485873222,9.821637831919361e-06,0.0,56,0.01890626922249794,0.0016822530888020992,1.5651166904717684e-05,0.0,58,0.019156165421009064,0.0020538403186947107,1.2736402368318522e-05,0.0,57.0
9,451.0,0.018017739057540894,0.00235380744561553,9.621793651604094e-06,0.0,50,0.017091600224375725,0.0016109091229736805,1.5590096154483035e-05,0.0,54,0.01755466964095831,0.0019823582842946053,1.2605944903043564e-05,0.0,52.0
10,501.0,0.01698647439479828,0.0023049309384077787,9.604789738659747e-06,0.0,49,0.01573321968317032,0.0015463639283552766,1.5648742191842757e-05,0.0,50,0.0163598470389843,0.0019256474333815277,1.2626765965251252e-05,0.0,49.5
11,551.0,0.016154278069734573,0.0022579962387681007,9.647962542658206e-06,0.0,46,0.014633563347160816,0.0015042959712445736,1.578804585733451e-05,0.0,48,0.015393920708447695,0.0018811461050063372,1.2718004199996358e-05,0.0,47.0
12,601.0,0.015462182462215424,0.0022058431059122086,9.750011486175936e-06,0.0,45,0.013716347515583038,0.00146890536416322,1.5915733456495218e-05,0.0,46,0.014589264988899231,0.0018373742350377142,1.2832872471335577e-05,0.0,45.5
13,651.0,0.014897643588483334,0.0021573263220489025,9.858325938694179e-06,0.0,42,0.012944037094712257,0.0014399630017578602,1.6034724467317574e-05,0.0,44,0.013920840341597795,0.0017986446619033813,1.2946525203005876e-05,0.0,43.0
14,701.0,0.0144321508705616,0.002088929759338498,9.962263902707491e-06,0.0,39,0.012300282716751099,0.0014146354515105486,1.6131849406519905e-05,0.0,43,0.01336621679365635,0.0017517826054245234,1.3047056654613698e-05,0.0,41.0
15,751.0,0.014012938365340233,0.002018711296841502,1.0063154149975162e-05,0.0,37,0.01171080581843853,0.0013904051156714559,1.6251457054750063e-05,0.0,42,0.012861872091889381,0.001704558206256479,1.3157305602362612e-05,0.0,39.5
16,801.0,0.013652445748448372,0.0019484579097479582,1.017033173411619e-05,0.0,35,0.011108200997114182,0.001368536613881588,1.633495958230924e-05,0.0,42,0.012380323372781277,0.001658497261814773,1.3252645658212714e-05,0.0,38.5
17,851.0,0.013258066959679127,0.0018743602558970451,1.0274388841935433e-05,0.0,33,0.01002080924808979,0.0013851580442860723,1.6345125914085656e-05,0.0,39,0.011639438103884459,0.0016297591500915587,1.3309757378010545e-05,0.0,36.0
18,901.0,0.012787992134690285,0.0018003203440457582,1.0417155863251537e-05,0.0,33,0.007461159490048885,0.001569308340549469,1.633572901482694e-05,0.0,39,0.010124575812369585,0.0016848143422976136,1.3376442439039238e-05,0.0,36.0
19,951.0,0.012263950891792774,0.0017143676523119211,1.0604384442558512e-05,0.0,30,0.005678231827914715,0.0014297727029770613,1.622300987946801e-05,0.0,39,0.008971091359853745,0.0015720701776444912,1.341369716101326e-05,0.0,34.5
20,1001.0,0.011385023593902588,0.0016356513369828463,1.0858965652005281e-05,0.0,30,0.004733697511255741,0.0013101306976750493,1.6149277143995278e-05,0.0,38,0.008059360552579165,0.0014728910173289478,1.350412139800028e-05,0.0,34.0
21,1051.0,0.009421185590326786,0.0015964184422045946,1.1088931387348566e-05,0.0,30,0.003985778894275427,0.00126446143258363,1.5982199329300784e-05,0.0,38,0.0067034822423011065,0.0014304399373941123,1.3535565358324675e-05,0.0,34.0
